is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,0.000000,6.144001,-1064.140991,-29.491077,-2120.294922,-64.511749,0.000000,0.000050
1,2.457596,4.915199,2.457596,-1.228802,1066.598633,28.262276,0.000076,0.000038
1,51.609589,7.372799,49.151993,2.457600,46.694397,3.686401,0.001678,0.000057
1,50.380798,5.529602,-1.228790,-1.843197,-50.380783,-4.300797,0.001648,0.000046
1,50.995209,2.457603,0.614410,-3.071999,1.843201,-1.228802,0.001678,0.000023
1,23.347198,1.843201,-27.648010,-0.614403,-28.262421,2.457596,0.000763,0.000015
1,0.614410,0.614403,-22.732788,-1.228798,4.915222,-0.614395,0.000031,0.000008
1,0.614410,0.000000,0.000000,-0.614403,22.732788,0.614395,0.000031,0.000000
1,-1.228790,-0.614403,0.614380,0.614403,0.614380,1.228806,0.000031,0.000008
1,0.614410,0.000000,-0.614380,-0.614403,-1.228760,-1.228806,0.000031,0.000000
1,1.228790,0.000000,0.614380,0.000000,1.228760,0.614403,0.000031,0.000000
1,-1.228790,0.000000,0.000000,0.000000,-0.614380,0.000000,0.000031,0.000000
1,1.228790,-1.843201,0.000000,1.843201,0.000000,1.843201,0.000031,0.000015
1,-0.614410,-1.843201,-0.614380,0.000000,-0.614380,-1.843201,0.000031,0.000015
1,-1.843201,4.300797,1.228790,2.457596,1.843170,2.457596,0.000061,0.000031
1,0.614410,4.915199,-1.228790,0.614403,-2.457581,-1.843193,0.000031,0.000038
1,-50.380798,1.228798,49.766388,-3.686401,50.995178,-4.300804,0.001648,0.000008
1,-51.609589,0.614403,1.228790,-0.614395,-48.537598,3.072006,0.001678,0.000008
1,-50.380798,0.000000,-1.228790,-0.614403,-2.457581,-0.000008,0.001648,0.000000
1,-25.190399,0.000000,-25.190399,0.000000,-23.961609,0.614403,0.000824,0.000000
1,-3.686401,0.000000,-21.503998,0.000000,3.686401,0.000000,0.000122,0.000000
1,1.843201,-0.614403,-1.843201,0.614403,19.660797,0.614403,0.000061,0.000008
1,1.843201,-0.614403,-1.843201,0.614403,19.660797,0.614403,0.000061,0.000008
1,0.000000,0.614403,-1.843201,0.000000,0.000000,-0.614403,0.000000,0.000008
1,0.614395,1.228798,0.614395,0.614395,2.457596,0.614395,0.000015,0.000008
1,51.609604,0.000000,50.995209,-1.228798,50.380814,-1.843193,0.001694,0.000000
1,51.609589,0.614403,-0.000015,0.614403,-50.995224,1.843201,0.001678,0.000008
1,50.380798,0.614403,-1.228790,0.000000,-1.228775,-0.614403,0.001648,0.000008
1,23.961609,1.228798,-26.419189,0.614395,-25.190399,0.614395,0.000793,0.000008
1,-50.995209,0.614403,27.033600,-0.614395,53.452789,-1.228790,0.001678,0.000008
1,-51.609589,0.614403,0.614380,0.000000,-26.419220,0.614395,0.001678,0.000008
1,-50.380798,0.000000,-1.228790,-0.614403,-1.843170,-0.614403,0.001648,0.000000
1,-23.347198,0.614403,-27.033600,0.614403,-25.804810,1.228806,0.000763,0.000008
1,50.995209,0.000000,27.648010,-0.614403,54.681610,-1.228806,0.001678,0.000000
1,50.380798,0.000000,-0.614410,0.000000,-28.262421,0.614403,0.001648,0.000000
1,51.609589,0.614403,1.228790,0.614403,1.843201,0.614403,0.001678,0.000008
1,-50.380798,0.000000,-1.228790,-0.614403,-2.457581,-1.228806,0.001648,0.000000
1,-50.380798,0.000000,0.000000,0.000000,1.228790,0.614403,0.001648,0.000000
1,50.995209,-3.686401,0.614410,3.686401,0.614410,3.686401,0.001678,0.000031
1,50.380798,-3.686401,-0.614410,0.000000,-1.228821,-3.686401,0.001648,0.000031
1,44.236816,-1.843201,-6.143982,-1.843201,-5.529572,-1.843201,0.001465,0.000015
1,0.000000,-1.843201,-44.236816,0.000000,-38.092834,1.843201,0.000000,0.000015
1,2.457611,-2.457603,2.457611,0.614403,46.694427,0.614403,0.000092,0.000023
1,3.071991,-0.614403,0.614380,-1.843201,-1.843231,-2.457603,0.000092,0.000008
1,1.843201,-1.843201,-1.228790,1.228798,-1.843170,3.071999,0.000061,0.000015
1,-3.071991,-1.843201,1.228790,0.000000,2.457581,-1.228798,0.000092,0.000015
1,1.228790,-0.614403,-1.843201,-1.228798,-3.071991,-1.228798,0.000031,0.000008
1,-1.843201,-2.457603,0.614410,1.843201,2.457611,3.071999,0.000061,0.000023
1,-0.614410,-3.686401,-1.228790,1.228798,-1.843201,-0.614403,0.000031,0.000031
1,-0.614410,-3.071999,0.000000,-0.614403,1.228790,-1.843201,0.000031,0.000023
1,0.000000,1.843201,-0.614410,-1.228798,-0.614410,-0.614395,0.000000,0.000015
1,3.071991,4.300797,3.071991,2.457596,3.686401,3.686394,0.000092,0.000031
1,4.300812,5.529602,1.228821,1.228806,-1.843170,-1.228790,0.000153,0.000046
1,9.830414,4.300797,5.529602,-1.228806,4.300781,-2.457611,0.000336,0.000031
1,50.995209,2.457603,41.164795,-1.843193,35.635193,-0.614388,0.001678,0.000023
1,51.609589,1.228798,0.614380,-1.228806,-40.550415,0.614388,0.001678,0.000008
1,62.054382,0.000000,10.444794,-1.228798,9.830414,0.000008,0.002014,0.000000
1,62.054382,0.000000,10.444794,-1.228798,9.830414,0.000008,0.002014,0.000000
1,-3.686401,0.000000,-58.367981,0.000000,-68.812775,1.228798,0.000122,0.000000
1,-1.228821,0.000000,-2.457581,0.000000,55.910400,0.000000,0.000061,0.000000
1,-2.457581,-0.614403,1.228760,0.614403,3.686340,0.614403,0.000061,0.000008
1,4.300781,-0.614403,1.843201,0.000000,0.614441,-0.614403,0.000122,0.000008
1,50.380798,0.000000,46.080017,-0.614403,44.236816,-0.614403,0.001648,0.000000
1,51.609619,-0.614403,1.228821,0.614403,-44.851196,1.228806,0.001709,0.000008
1,50.995178,-1.228798,-0.614441,0.614395,-1.843262,-0.000008,0.001648,0.000008
1,3.686401,-1.228798,-47.308777,0.000000,-46.694336,-0.614395,0.000122,0.000008
1,2.457581,-1.843201,-1.228821,0.614403,46.079956,0.614403,0.000061,0.000015
1,-3.686401,-1.843201,1.228821,0.000000,2.457642,-0.614403,0.000122,0.000015
1,2.457581,-3.071999,-1.228821,1.228798,-2.457642,1.228798,0.000061,0.000023
1,1.843201,-0.614403,-0.614380,-2.457596,0.614441,-3.686394,0.000061,0.000008
1,-1.843201,-2.457603,0.000000,1.843201,0.614380,4.300797,0.000061,0.000023
1,0.000000,-2.457600,-1.843201,-0.000004,-1.843201,-1.843204,0.000000,0.000019
1,1.228821,-5.529602,1.228821,3.072002,3.072021,3.072006,0.000061,0.000046
1,-1.228821,-4.300800,0.000000,-1.228802,-1.228821,-4.300804,0.000061,0.000034
1,0.000000,2.457600,-1.228821,-1.843201,-1.228821,-0.614399,0.000000,0.000019
1,0.000000,4.300800,0.000000,1.843201,1.228821,3.686401,0.000000,0.000034
1,0.614380,4.915199,0.614380,0.614399,0.614380,-1.228802,0.000000,0.000038
1,1.228821,4.915199,0.614441,0.000000,0.000061,-0.614399,0.000061,0.000038
1,0.000000,5.529602,-1.228821,0.614403,-1.843262,0.614403,0.000000,0.000046
1,-50.380798,3.686401,50.380798,-1.843201,51.609619,-2.457603,0.001648,0.000031
1,-101.990356,3.071999,51.609558,-0.614403,1.228760,1.228798,0.003296,0.000023
1,-25.804810,0.000000,-76.185547,-3.071999,-127.795105,-2.457596,0.000854,0.000000
1,-1.228821,-0.614403,-24.575989,0.614403,51.609558,3.686401,0.000061,0.000008
1,0.614380,-0.614403,-0.614441,0.000000,23.961548,-0.614403,0.000000,0.000008
1,-2.457581,-2.457603,1.843201,1.843201,2.457642,1.843201,0.000061,0.000023
1,1.843201,-0.614403,-0.614380,-1.843201,-2.457581,-3.686401,0.000061,0.000008
1,51.609619,1.228798,49.766418,0.614395,50.380798,2.457596,0.001709,0.000008
1,50.995178,0.000000,-0.614441,-1.228798,-50.380859,-1.843193,0.001648,0.000000
1,51.609619,0.000000,0.614441,0.000000,1.228882,1.228798,0.001709,0.000000
1,23.961609,-1.228798,-27.648010,1.228798,-28.262451,1.228798,0.000793,0.000008
1,0.000000,-1.228798,-23.961609,0.000000,3.686401,-1.228798,0.000000,0.000008
1,0.614380,-1.843201,0.614380,0.614403,24.575989,0.614403,0.000000,0.000015
1,0.000000,-2.457596,-0.614380,0.614395,-1.228760,-0.000008,0.000000,0.000015
1,1.843201,-0.614403,1.843201,-1.843193,2.457581,-2.457588,0.000061,0.000008
1,-0.614380,-1.843201,-1.228821,1.228798,-3.072021,3.071991,0.000000,0.000015
1,-2.457581,-1.843201,1.843201,0.000000,3.072021,-1.228798,0.000061,0.000015
1,0.614380,-4.300797,-1.843201,2.457596,-3.686401,2.457596,0.000000,0.000031
1,0.614380,-3.071999,0.000000,-1.228798,1.843201,-3.686394,0.000000,0.000023
1,0.000000,3.071999,-0.614380,0.000000,-0.614380,1.228798,0.000000,0.000023
1,0.614380,4.915199,0.614380,1.843201,1.228760,1.843201,0.000000,0.000038
1,1.843201,4.915199,1.228821,0.000000,0.614441,-1.843201,0.000061,0.000038
1,6.758423,3.686401,4.915222,-1.228798,3.686401,-1.228798,0.000244,0.000031
1,50.380798,2.457603,43.622375,-1.228798,38.707153,0.000000,0.001648,0.000023
1,50.380798,0.614403,0.000000,-1.843201,-43.622375,-0.614403,0.001648,0.000008
1,70.041565,-0.614403,19.660767,0.000000,19.660767,1.843201,0.002258,0.000008
1,70.041565,-0.614403,19.660767,0.000000,19.660767,1.843201,0.002258,0.000008
1,0.000000,-0.614403,-70.041565,0.000000,-89.702332,0.000000,0.000000,0.000008
1,2.457581,-0.614403,2.457581,0.000000,72.499146,0.000000,0.000061,0.000008
1,-1.228821,-1.843201,-1.228760,1.228798,-3.686340,1.228798,0.000061,0.000015
1,-0.614380,0.000000,-0.614441,-1.843201,0.614319,-3.071999,0.000000,0.000000
1,-50.380798,0.614403,49.766418,0.614403,50.380859,2.457603,0.001648,0.000008
1,-51.609619,0.000000,1.228821,-0.614403,-48.537598,-1.228806,0.001709,0.000000
1,-50.995178,-1.228798,-0.614441,1.228798,-1.843262,1.843201,0.001648,0.000008
1,-25.804810,-1.228798,-25.190369,0.000000,-24.575928,-1.228798,0.000854,0.000008
1,0.000000,-1.228798,-25.804810,0.000000,-0.614441,0.000000,0.000000,0.000008
1,-0.614380,-1.228798,0.614380,0.000000,26.419189,0.000000,0.000000,0.000008
1,0.000000,-2.457596,-0.614380,1.228798,-1.228760,1.228798,0.000000,0.000015
1,0.000000,-0.614403,0.000000,-1.843193,0.614380,-3.071991,0.000000,0.000008
1,-1.843201,-2.457603,1.843201,1.843201,1.843201,3.686394,0.000061,0.000023
1,0.614380,-3.071999,-1.228821,0.614395,-3.072021,-1.228806,0.000000,0.000023
1,0.614380,-4.300800,0.000000,1.228802,1.228821,0.614407,0.000000,0.000034
1,1.843201,-3.686401,1.228821,-0.614399,1.228821,-1.843201,0.000061,0.000031
1,-1.228821,3.071999,-0.614380,-0.614403,-1.843201,-0.000004,0.000061,0.000023
1,-1.228821,4.300800,0.000000,1.228802,0.614380,1.843204,0.000061,0.000034
1,0.000000,4.300797,-1.228821,-0.000004,-1.228821,-1.228806,0.000000,0.000031
1,0.614380,4.915199,0.614380,0.614403,1.843201,0.614407,0.000000,0.000038
1,1.843201,4.915199,1.228821,0.000000,0.614441,-0.614403,0.000061,0.000038
1,51.609619,2.457603,49.766418,-2.457596,48.537598,-2.457596,0.001709,0.000023
1,105.062439,1.228806,53.452820,-1.228798,3.686401,1.228798,0.003479,0.000015
1,19.660828,0.000000,-85.401611,-1.228806,-138.854431,-0.000008,0.000671,0.000000
1,19.660828,0.000000,-85.401611,-1.228806,-138.854431,-0.000008,0.000671,0.000000
1,0.000000,-1.843201,-19.660828,1.843201,65.740784,3.072006,0.000000,0.000015
1,1.228821,-2.457603,1.228821,0.614403,20.889648,-1.228798,0.000061,0.000023
1,3.072021,-1.843201,1.843201,-0.614403,0.614380,-1.228806,0.000122,0.000015
1,51.609619,3.071999,48.537598,1.228798,46.694397,1.843201,0.001709,0.000023
1,50.380798,0.614403,-1.228821,-2.457596,-49.766418,-3.686394,0.001648,0.000008
1,50.995239,0.000000,0.614441,-0.614403,1.843262,1.843193,0.001709,0.000000
1,23.347168,-1.228798,-27.648071,1.228798,-28.262512,1.843201,0.000732,0.000008
1,0.614380,-0.614403,-22.732788,-0.614395,4.915283,-1.843193,0.000000,0.000008
1,0.000000,-1.228798,-0.614380,0.614395,22.118408,1.228790,0.000000,0.000008
1,3.072021,-1.843201,3.072021,0.614403,3.686401,0.000008,0.000122,0.000015
1,-1.228760,-1.228798,-1.843262,-0.614403,-4.915283,-1.228806,0.000000,0.000008
1,-0.614380,-1.228798,-0.614380,0.000000,1.228882,0.614403,0.000000,0.000008
1,-1.228760,-3.071999,0.614380,1.843201,1.228760,1.843201,0.000000,0.000023
1,0.000000,-4.300797,-1.228760,1.228798,-1.843140,-0.614403,0.000000,0.000031
1,0.000000,-1.843201,0.000000,-2.457596,1.228760,-3.686394,0.000000,0.000015
1,2.457642,3.071999,2.457642,1.228798,2.457642,3.686394,0.000122,0.000023
1,-0.614380,5.529602,-1.843262,2.457603,-4.300903,1.228806,0.000000,0.000046
1,-1.843140,4.915199,1.228760,-0.614403,3.072021,-3.072006,0.000000,0.000038
1,50.380859,3.686401,48.537720,-1.228798,47.308960,-0.614395,0.001709,0.000031
