is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,20.927948,-46.543278,-37.440056,44.085674,-36.825657,45.314472,0.000000,0.150753
1,17.817604,-5.673038,-3.110344,-40.870239,34.329712,-84.955917,0.000000,0.143482
1,-4.915199,0.000000,-12.902405,-5.673038,-9.792061,35.197201,0.000000,0.000000
1,-6.758400,21.511147,1.843201,21.511147,14.745605,27.184185,0.000000,0.007317
1,0.000000,12.151031,-6.758400,-9.360115,-8.601601,-30.871262,0.000000,0.136871
1,-4.300797,8.825493,4.300797,-3.325539,11.059196,6.034576,0.000000,0.223961
1,-3.686401,1.580139,-0.614395,-7.245354,-4.915192,-3.919815,0.000000,0.263046
1,78.643211,-0.257004,74.956810,-1.323135,75.571205,5.922218,0.000000,0.257004
1,74.342407,0.023903,-4.300804,-0.233101,-79.257614,1.090034,0.000000,0.023903
1,14.131195,-1.806587,-60.211212,1.782684,-55.910408,2.015785,0.000000,0.036598
1,6.144012,-4.161514,-7.987183,2.354927,52.224030,0.572243,0.000000,0.139252
1,4.300812,-5.272835,-1.843201,1.111320,6.143982,-1.243607,0.000000,0.256721
1,7.987213,-5.500069,3.686401,0.227234,5.529602,-0.884087,0.000000,0.029488
1,3.686401,-9.635399,-4.300812,4.135330,-7.987213,3.908096,0.000000,0.194923
1,6.758392,-4.158276,3.071991,-5.477123,7.372803,-9.612453,0.000000,0.142490
1,0.000000,14.474850,-6.758392,10.316574,-9.830383,15.793697,0.000000,0.270634
1,-1.843201,6.625114,1.843201,-7.849735,8.601593,-18.166309,0.000000,0.133232
1,-5.529602,5.466614,3.686401,-1.158501,1.843201,6.691235,0.000000,0.062943
1,-6.758392,3.143135,1.228790,-2.323479,-2.457611,-1.164978,0.000000,0.071159
1,-3.071991,0.830200,-3.686401,-2.312935,-4.915192,0.010544,0.000000,0.215805
1,-9.216003,0.137337,6.144012,-0.692863,9.830414,1.620071,0.000000,0.137337
1,-94.003204,0.195709,84.787201,0.058372,78.643188,0.751236,0.000000,0.195709
1,-95.232010,-0.310524,1.228806,0.114815,-83.558395,0.056442,0.000000,0.303871
1,2.457600,0.148094,-92.774414,-0.162430,-94.003220,-0.277245,0.000000,0.148094
1,0.614403,-1.431084,-1.843197,1.282990,90.931213,1.445419,0.000000,0.202293
1,3.071999,-5.590225,2.457596,4.159142,4.300793,2.876152,0.000000,0.060669
1,2.457603,-2.145813,-0.614395,-3.444412,-3.071991,-7.603554,0.000000,0.302628
1,-79.872002,9.275642,77.414398,7.129829,78.028793,10.574242,0.000000,0.059715
1,-56.524799,-0.021538,-23.347202,-9.254105,-100.761597,-16.383934,0.000000,0.021538
1,-7.372803,-1.963837,-49.151997,1.942299,-25.804794,11.196404,0.000000,0.120651
