is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,2892.288086,-7.372803,2886.144043,5.529602,2891.059082,5.529602,0.000000,0.000000
1,79.872009,-1.843201,-2812.416016,-5.529602,-5698.560059,-11.059204,0.000000,0.000000
1,78.028809,1.843201,-1.843201,0.000000,2810.572754,5.529602,0.000000,0.000000
1,-32.563202,0.000000,15.360016,-1.843201,13.516846,-1.843201,0.000000,0.000000
1,-54.681610,1.843201,22.118408,1.843201,6.758392,3.686401,0.000000,0.000000
1,-54.067230,-1.843201,-0.614380,0.000000,-22.732788,-1.843201,0.000000,0.000000
1,-28.876831,-1.843201,-25.190399,0.000000,-24.576019,0.000000,0.000000,0.000000
1,-15.974426,-1.843201,-12.902405,0.000000,12.287994,0.000000,0.000000,0.000000
1,-19.660828,1.843201,3.686401,0.000000,16.588806,0.000000,0.000000,0.000000
1,-79.872009,1.843201,60.211182,0.000000,56.524780,0.000000,0.000000,0.000000
1,-62.054382,-1.843201,-17.817627,0.000000,-78.028809,0.000000,0.000000,0.000000
1,-4.300781,-1.843201,-57.753601,0.000000,-39.935974,0.000000,0.000000,0.000000
1,-1.228821,1.843201,-3.071960,0.000000,54.681641,0.000000,0.000000,0.000000
1,-3.686401,1.843201,2.457581,0.000000,5.529541,0.000000,0.000000,0.000000
1,14.131226,1.843201,10.444824,0.000000,7.987244,0.000000,0.000000,0.000000
1,152.985596,0.000000,138.854370,-1.843201,128.409546,-1.843201,0.000000,0.000000
1,5.529602,-1.843201,-147.455994,1.843201,-286.310364,3.686401,0.000000,0.000000
1,1.843201,-1.843201,-3.686401,0.000000,143.769592,-1.843201,0.000000,0.000000
1,1.843201,-1.843201,0.000000,0.000000,3.686401,0.000000,0.000000,0.000000
1,5.529602,-1.843201,3.686401,0.000000,3.686401,0.000000,0.000000,0.000000
1,7.372803,1.843201,1.843201,0.000000,-1.843201,0.000000,0.000000,0.000000
1,79.872009,1.843201,72.499207,0.000000,70.656006,0.000000,0.000000,0.000000
1,77.414398,-1.843201,-2.457611,0.000000,-74.956818,0.000000,0.000000,0.000000
1,0.614410,1.843201,-76.799988,0.000000,-74.342377,0.000000,0.000000,0.000000
1,-0.614410,-1.843201,0.000000,0.000000,76.799988,0.000000,0.000000,0.000000
1,-4.915192,1.843201,4.300781,0.000000,4.300781,0.000000,0.000824,0.000000
1,-4.300812,1.843201,-0.614380,0.000000,-4.915161,0.000000,0.000702,0.000000
1,-67.584015,0.000000,63.283203,-1.843201,63.897583,-1.843201,0.011200,0.000000
1,-79.872009,-1.843201,12.287994,1.843201,-50.995209,3.686401,0.013245,0.000000
1,-28.262390,-1.843201,-51.609619,0.000000,-63.897614,-1.843201,0.004700,0.000000
1,-7.372803,-1.843201,-20.889587,0.000000,30.720032,0.000000,0.001221,0.000000
1,-7.987183,-1.843201,0.614380,0.000000,21.503967,0.000000,0.001343,0.000000
1,-8.601624,1.843201,0.614441,0.000000,0.000061,0.000000,0.001404,0.000000
1,45.465576,1.843201,36.863953,0.000000,36.249512,0.000000,0.007568,0.000000
1,79.872009,1.843201,34.406433,0.000000,-2.457520,0.000000,0.013245,0.000000
1,60.211212,-1.843201,-19.660797,0.000000,-54.067230,0.000000,0.009979,0.000000
1,4.300812,1.843201,-55.910400,0.000000,-36.249603,0.000000,0.000702,0.000000
1,5.529602,-1.843201,1.228790,0.000000,57.139191,0.000000,0.000916,0.000000
1,5.529602,1.843201,0.000000,0.000000,-1.228790,0.000000,0.000916,0.000000
1,-3.686401,0.000000,-1.843201,-1.843201,-1.843201,-1.843201,0.000610,0.000000
1,-13.516815,1.843201,9.830414,1.843201,11.673615,3.686401,0.002228,0.000000
1,-79.872009,1.843201,66.355194,0.000000,56.524780,-1.843201,0.013245,0.000000
1,-79.871979,-1.843201,-0.000031,0.000000,-66.355225,0.000000,0.013275,0.000000
1,-15.359985,-1.843201,-64.511993,0.000000,-64.511963,0.000000,0.002563,0.000000
1,-2.457581,-1.843201,-12.902405,0.000000,51.609589,0.000000,0.000427,0.000000
1,58.982422,1.843201,56.524841,0.000000,69.427246,0.000000,0.009766,0.000000
1,79.872009,1.843201,20.889587,0.000000,-35.635254,0.000000,0.013245,0.000000
1,35.020813,-1.843201,-44.851196,0.000000,-65.740784,0.000000,0.005798,0.000000
1,11.059204,1.843201,-23.961609,0.000000,20.889587,0.000000,0.001831,0.000000
1,17.203186,-1.843201,6.143982,0.000000,30.105591,0.000000,0.002869,0.000000
1,24.575989,1.843201,7.372803,0.000000,1.228821,0.000000,0.004089,0.000000
1,67.584015,0.000000,43.008026,-1.843201,35.635223,-1.843201,0.011200,0.000000
1,63.283203,1.843201,-4.300812,1.843201,-47.308838,3.686401,0.010498,0.000000
1,33.177597,-1.843201,-30.105606,0.000000,-25.804794,-1.843201,0.005508,0.000000
1,22.118408,-1.843201,-11.059189,0.000000,19.046417,0.000000,0.003662,0.000000
1,14.131195,1.843201,-7.987213,0.000000,3.071976,0.000000,0.002350,0.000000
1,24.576004,-1.843201,10.444809,0.000000,18.432022,0.000000,0.004074,0.000000
1,79.872002,-1.843201,55.295998,0.000000,44.851189,0.000000,0.013252,0.000000
1,70.656006,1.843201,-9.215996,0.000000,-64.511993,0.000000,0.011719,0.000000
1,0.614400,-1.843201,-70.041603,0.000000,-60.825607,0.000000,0.000102,0.000000
1,-1.228800,1.843201,0.614400,0.000000,70.656006,0.000000,0.000204,0.000000
1,-6.758400,1.843201,5.529600,0.000000,4.915199,0.000000,0.001122,0.000000
1,-8.601601,1.843201,1.843201,0.000000,-3.686399,0.000000,0.001427,0.000000
1,-122.880005,0.000000,114.278404,-1.843201,112.435204,-1.843201,0.020386,0.000000
1,-58.367996,-1.843201,-64.512009,1.843201,-178.790405,3.686401,0.009689,0.000000
1,-3.686401,-1.843201,-54.681595,0.000000,9.830414,-1.843201,0.000610,0.000000
1,0.614395,-1.843201,-3.072006,0.000000,51.609589,0.000000,0.000107,0.000000
1,1.843201,-1.843201,1.228806,0.000000,4.300812,0.000000,0.000305,0.000000
