is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,4.915192,5.529602,-3.686401,3.072002,-11.673599,3.686401,0.005035,0.000000
1,16.588806,2.457603,11.673615,-3.071999,15.360016,-6.144001,0.017029,0.614403
1,32.563202,3.071999,15.974396,0.614395,4.300781,3.686394,0.033417,0.614403
1,49.766388,3.686401,17.203186,0.614403,1.228790,0.000008,0.051056,0.000000
1,30.720001,-2.457603,-19.046387,-1.228798,-36.249573,-1.843201,0.031525,0.614403
1,12.902405,-2.457603,-17.817596,0.000000,1.228790,1.228798,0.013245,0.614403
1,12.902405,-2.457603,0.000000,0.000000,17.817596,0.000000,0.013245,0.614403
1,2.457611,3.071999,-10.444794,0.614395,-10.444794,0.614395,0.002533,0.614403
1,7.372803,2.457603,4.915192,-0.614395,15.359985,-1.228790,0.007568,0.614403
1,3.686401,2.457603,-3.686401,0.000000,-8.601593,0.614395,0.003784,0.614403
1,-3.686401,1.843201,0.000000,-0.614403,3.686401,-0.614403,0.003784,0.000000
1,9.216003,1.843201,5.529602,0.000000,5.529602,0.614403,0.009460,0.000000
1,-0.614410,-1.228798,-8.601593,-0.614403,-14.131195,-0.614403,0.000641,0.614403
1,7.372803,3.071999,6.758392,1.843201,15.359985,2.457603,0.007568,0.614403
1,7.372803,2.457603,0.000000,-0.614395,-6.758392,-2.457596,0.007568,0.614403
1,30.105591,1.843201,22.732788,-0.614403,22.732788,-0.000008,0.030884,0.000000
1,58.982391,1.843201,28.876801,0.000000,6.144012,0.614403,0.060516,0.000000
1,59.596802,-3.071999,0.614410,1.228798,-28.262390,1.228798,0.061157,0.614403
1,58.367981,-3.071999,-1.228821,0.000000,-1.843231,-1.228798,0.059875,0.614403
1,58.982422,2.457603,0.614441,-0.614395,1.843262,-0.614395,0.060547,0.614403
1,36.864014,-1.843201,-22.118408,-0.614403,-22.732849,-0.000008,0.037842,0.000000
1,2.457581,-3.071999,-34.406433,1.228798,-12.288025,1.843201,0.002502,0.614403
1,1.843201,3.686401,-0.614380,0.614403,33.792053,-0.614395,0.001892,0.000000
1,4.915222,-1.843201,3.072021,-1.843201,3.686401,-2.457603,0.005066,0.000000
1,-1.228821,0.000000,-3.686401,-1.843201,-6.758423,0.000000,0.001282,0.000000
1,4.915222,-2.457603,3.686401,2.457603,7.372803,4.300804,0.005066,0.614403
1,3.686401,3.071999,-1.228821,0.614395,-4.915222,-1.843208,0.003784,0.614403
1,1.228821,-3.071999,-2.457581,0.000000,-1.228760,-0.614395,0.001282,0.614403
1,14.131226,3.071999,12.902405,0.000000,15.359985,0.000000,0.014526,0.614403
1,19.660828,2.457603,5.529602,-0.614395,-7.372803,-0.614395,0.020203,0.000023
1,58.367981,1.843201,38.707153,-0.614403,33.177551,-0.000008,0.059875,0.000015
1,57.753601,-3.686401,-0.614380,1.843201,-39.321533,2.457603,0.059265,0.000031
1,45.465576,3.071999,-12.288025,-0.614403,-11.673645,-2.457603,0.046631,0.000023
1,-0.614380,-1.843201,-44.851196,-1.228798,-32.563171,-0.614395,0.000610,0.000015
1,3.686401,3.071999,3.072021,1.228798,47.923218,2.457596,0.003784,0.000023
1,-3.686401,-3.686401,0.000000,0.614403,-3.072021,-0.614395,0.003784,0.000031
1,-6.144043,3.686401,2.457642,0.000000,2.457642,-0.614403,0.006348,0.000031
1,-24.575989,3.686401,18.431946,0.000000,15.974304,0.000000,0.025208,0.000031
1,-58.367981,-3.686401,33.791992,0.000000,15.360046,0.000000,0.059875,0.000031
1,-59.596802,-3.071999,1.228821,-0.614403,-32.563171,-0.614403,0.061157,0.000023
1,-33.791992,-2.457603,-25.804810,-0.614395,-27.033630,0.000008,0.034668,0.000023
1,-8.601624,-3.071999,-25.190369,0.614395,0.614441,1.228790,0.008850,0.000023
1,6.143982,2.457603,-2.457642,-0.614395,22.732727,-1.228790,0.006287,0.000023
1,6.758423,2.457603,0.614441,0.000000,3.072083,0.614395,0.006958,0.000023
1,58.367981,3.071999,51.609558,0.614395,50.995117,0.614395,0.059875,0.000023
1,59.596802,1.843201,1.228821,-1.228798,-50.380737,-1.843193,0.061157,0.000015
1,57.753601,3.071999,-1.843201,1.228798,-3.072021,2.457596,0.059265,0.000023
1,-0.614380,-3.071999,-57.139221,0.000000,-55.296021,-1.228798,0.000610,0.000023
1,-14.745605,0.614403,14.131226,-2.457596,71.270447,-2.457596,0.015137,0.000008
1,-58.982422,2.457603,44.236816,1.843201,30.105591,4.300797,0.060547,0.000023
1,-59.596802,-2.457603,0.614380,0.000000,-43.622437,-1.843201,0.061157,0.000023
1,-57.753601,1.843201,-1.843201,-0.614403,-2.457581,-0.614403,0.059265,0.000015
1,-35.635193,-3.686401,-22.118408,1.843201,-20.275208,2.457603,0.036560,0.000031
1,-57.753601,3.071999,22.118408,-0.614403,44.236816,-2.457603,0.059265,0.000023
1,-59.596802,-3.071999,1.843201,0.000000,-20.275208,0.614403,0.061157,0.000023
1,-59.596802,3.686401,0.000000,0.614403,-1.843201,0.614403,0.061157,0.000031
1,-57.139191,-3.071999,-2.457611,-0.614403,-2.457611,-1.228806,0.058624,0.000023
1,4.300812,3.686401,-52.838379,0.614403,-50.380768,1.228806,0.004425,0.000031
1,7.987213,-1.843201,3.686401,-1.843201,56.524780,-2.457603,0.008209,0.000015
1,15.360016,1.843201,7.372803,0.000000,3.686401,1.843201,0.015778,0.000015
1,115.507202,0.000000,100.147186,-1.843201,92.774384,-1.843201,0.118530,0.000000
1,44.851196,-3.071999,-70.656006,3.071999,-170.803192,4.915199,0.046021,0.000023
