is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-27.033630,-0.047333,6.144043,-0.211479,57.753662,-0.454430,0.001587,0.047333
1,-20.275208,0.279579,-6.758423,0.232246,-12.902466,0.443726,0.001175,0.279579
1,-12.287994,-0.007553,-7.987213,-0.272026,-1.228790,-0.504272,0.000702,0.007553
1,1.228790,-0.213959,-11.059204,0.206406,-3.071991,0.478432,0.000061,0.213959
1,2.457611,-0.187721,1.228821,-0.026237,12.288025,-0.232643,0.000153,0.187721
1,-31.948792,0.335808,29.491180,0.148087,28.262360,0.174324,0.001831,0.278591
1,-79.257599,0.014000,47.308807,-0.321808,17.817627,-0.469894,0.004562,0.014000
1,-91.545593,-0.473450,12.287994,0.459450,-35.020813,0.781258,0.005264,0.140949
1,-18.432007,0.312050,-73.113586,-0.161400,-85.401581,-0.620850,0.001068,0.302349
1,7.372803,0.092094,-11.059204,-0.219955,62.054382,-0.058556,0.000427,0.092094
1,10.444794,-0.242142,3.071991,0.150047,14.131195,0.370003,0.000595,0.242142
1,17.203186,-0.007530,6.758392,-0.234612,3.686401,-0.384659,0.000977,0.007530
1,-3.686401,0.268890,-13.516785,0.261360,-20.275177,0.495972,0.000214,0.268890
1,-9.830414,0.043259,6.144012,-0.225632,19.660797,-0.486992,0.000580,0.043259
1,-15.360016,0.055267,5.529602,0.012009,-0.614410,0.237640,0.000900,0.055267
1,-100.761612,-0.333755,85.401596,0.278488,79.871994,0.266479,0.005814,0.280643
1,-73.728004,-0.260704,-27.033607,-0.073051,-112.435204,-0.351540,0.004250,0.260704
1,13.516808,0.133377,-60.211197,-0.127327,-33.177589,-0.054276,0.000786,0.133377
1,44.851196,0.311356,31.334389,0.177979,91.545586,0.305305,0.002579,0.303043
1,35.635208,-0.023788,-9.215988,-0.287567,-40.550377,-0.465546,0.002060,0.023788
1,35.635208,-0.038322,0.000000,0.014534,9.215988,0.302101,0.002060,0.038322
1,30.720001,0.184845,-4.915207,0.146523,-4.915207,0.131989,0.001770,0.184845
1,28.262390,-0.255928,-2.457611,0.071083,2.457596,-0.075439,0.001617,0.255928
1,28.876801,-0.058517,0.614410,-0.197411,3.072021,-0.268494,0.001663,0.058517
1,23.347198,0.220634,-5.529602,0.162117,-6.144012,0.359528,0.001343,0.220634
1,14.745605,-0.250359,-8.601593,0.029724,-3.071991,-0.132393,0.000854,0.250359
1,26.419189,0.335518,11.673584,0.085159,20.275177,0.055435,0.001511,0.278881
1,39.321594,-0.077347,12.902405,-0.258171,1.228821,-0.343330,0.002258,0.077347
1,38.092804,-0.307297,-1.228790,0.229950,-14.131195,0.488121,0.002197,0.307102
1,43.008026,0.243080,4.915222,-0.064217,6.144012,-0.294167,0.002502,0.243080
1,-79.257599,-1.876396,36.249573,1.633316,31.334351,1.697533,0.004562,0.033199
1,-74.342407,-2.448090,-4.915192,0.571693,-41.164764,-1.061623,0.004288,0.009506
1,-17.203186,-0.748802,-57.139221,-1.699287,-52.224030,-2.270981,0.000977,0.134403
1,-12.287994,-1.540741,-4.915192,0.791939,52.224030,2.491226,0.000702,0.302456
1,3.686401,-0.143326,-8.601593,-1.397415,-3.686401,-2.189354,0.000214,0.143326
1,6.144012,-0.741371,2.457611,0.598045,11.059204,1.995461,0.000366,0.126972
1,20.889587,-0.871445,14.745575,0.130074,12.287964,-0.467972,0.001190,0.257046
1,-3.071991,-1.154907,-17.817596,0.283463,-32.563171,0.153389,0.000168,0.073891
1,-11.059204,-1.700302,7.987213,0.545395,25.804810,0.261932,0.000641,0.142895
1,-12.287994,-3.432465,1.228790,1.732162,-6.758423,1.186768,0.000702,0.253929
1,-3.071991,-5.424534,-9.216003,1.992069,-10.444794,0.259907,0.000168,0.105057
1,6.144012,0.078747,3.072021,-5.345787,12.288025,-7.337856,0.000366,0.078747
1,20.275208,15.704895,14.131195,15.626148,11.059174,20.971935,0.001175,0.269478
1,6.758392,4.026497,-13.516815,-11.678398,-27.648010,-27.304546,0.000381,0.274296
1,12.902405,0.033897,6.144012,-3.992599,19.660828,7.685799,0.000748,0.033897
1,80.486389,0.326378,67.583984,0.292480,61.439972,4.285080,0.004623,0.288021
1,45.465576,-0.456322,-35.020813,0.129944,-102.604797,-0.162537,0.002594,0.158077
1,14.131226,0.443047,-31.334351,-0.013275,3.686462,-0.143219,0.000839,0.171352
1,18.432007,-0.269699,4.300781,-0.173347,35.635132,-0.160072,0.001068,0.269699
1,8.601624,0.112572,-9.830383,-0.157127,-14.131165,0.016220,0.000519,0.112572
1,-6.143982,-0.251846,-2.457642,0.139275,7.372742,0.296402,0.000336,0.251846
1,-17.203186,-0.140869,11.059204,-0.110977,13.516846,-0.250252,0.000977,0.140869
1,-20.275208,-0.956902,3.072021,0.816032,-7.987183,0.927010,0.001175,0.271896
1,-3.686401,1.117043,-16.588806,0.160141,-19.660828,-0.655891,0.000214,0.111755
1,-90.931213,-2.575516,87.244812,1.458473,103.833618,1.298332,0.005249,0.117920
1,-34.406403,-3.525284,-56.524811,0.949768,-143.769623,-0.508705,0.001984,0.161110
