is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,7.987305,28.262402,7.373047,20.889603,6.758789,20.889603,0.000168,0.000050
1,-6.758789,-1.843201,-1.228516,-26.419201,-8.601563,-47.308804,0.000443,0.000004
1,-9.215820,0.000000,2.457031,-1.843201,3.685547,24.576000,0.000107,0.000000
1,-5.529297,1.843201,-3.686523,1.843201,-6.143555,3.686401,0.000259,0.000004
1,-2.458008,1.843201,-3.071289,0.000000,0.615234,-1.843201,0.000427,0.000004
1,4.300781,3.071999,1.842773,1.228798,4.914063,1.228798,0.000015,0.000004
1,8.601563,1.843201,4.300781,-1.228798,2.458008,-2.457596,0.000031,0.000004
1,7.987305,-0.614403,-0.614258,-1.228798,-4.915039,0.000000,0.000168,0.000004
1,6.143555,-1.843201,-1.843750,1.228798,-1.229492,2.457596,0.000397,0.000004
1,0.000000,-3.071999,-6.143555,1.228798,-4.299805,0.000000,0.000000,0.000004
1,58.368164,-11.059196,58.368164,7.987198,64.511719,6.758400,0.000626,0.000015
1,19.046875,-3.071999,-39.321289,-7.987198,-97.689453,-15.974396,0.000626,0.000004
1,71.884766,-9.216000,52.837891,6.144001,92.159180,14.131199,0.000534,0.000015
1,-3.686523,-3.071999,-68.198242,-6.144001,-121.036133,-12.288002,0.000153,0.000004
1,0.000000,-2.457600,-3.686523,-0.614399,64.511719,5.529602,0.000000,0.000004
1,7.373047,-1.843201,7.373047,-0.614399,11.059570,0.000000,0.000305,0.000004
1,7.987305,-1.843201,0.614258,0.000000,-6.758789,0.614399,0.000168,0.000004
1,8.601563,-0.614399,0.614258,-1.228802,0.000000,-1.228802,0.000031,0.000000
1,1.842773,1.843201,-6.758789,1.228802,-7.373047,2.457603,0.000412,0.000004
1,-4.300781,2.457600,2.458008,0.614399,9.216797,-0.614403,0.000015,0.000004
1,-6.143555,1.843201,1.842773,-0.614399,-0.615234,-1.228798,0.000397,0.000004
1,-9.830078,2.457600,3.686523,0.614399,1.843750,1.228798,0.000244,0.000004
1,-6.758789,0.000000,-3.071289,-2.457600,-6.757813,-3.071999,0.000443,0.000000
1,1.842773,-3.686401,-4.916016,3.686401,-1.844727,6.144001,0.000412,0.000008
1,1.842773,-0.614399,0.000000,-3.072002,4.916016,-6.758404,0.000412,0.000000
1,-3.686523,1.228802,1.843750,0.614403,1.843750,3.686405,0.000153,0.000004
1,3.072266,2.457600,-0.614258,1.228798,-2.458008,0.614395,0.000290,0.000004
1,7.373047,1.843201,4.300781,-0.614399,4.915039,-1.843197,0.000305,0.000004
1,7.987305,1.843201,0.614258,0.000000,-3.686523,0.614399,0.000168,0.000004
1,6.143555,0.000000,-1.843750,-1.843201,-2.458008,-1.843201,0.000397,0.000000
1,1.842773,-2.457600,-4.300781,2.457600,-2.457031,4.300800,0.000412,0.000004
1,-3.072266,-1.843201,1.229492,-0.614399,5.530273,-3.071999,0.000290,0.000004
1,-8.601563,-1.843201,5.529297,0.000000,4.299805,0.614399,0.000031,0.000004
1,-8.601563,-1.228802,0.000000,-0.614399,-5.529297,-0.614399,0.000031,0.000004
1,-5.529297,0.614399,-3.072266,-0.614403,-3.072266,-0.000004,0.000259,0.000000
1,-22.732422,1.228802,17.203125,0.614403,20.275391,1.228806,0.000198,0.000004
1,-4.300781,-0.614399,-18.431641,-0.614403,-35.634766,-1.228806,0.000015,0.000000
1,1.228516,2.457600,-3.072266,1.843201,15.359375,2.457603,0.000275,0.000004
1,-3.686523,3.071999,2.458008,0.614399,5.530273,-1.228802,0.000153,0.000004
1,-6.143555,1.843201,2.457031,-1.228798,-0.000977,-1.843197,0.000397,0.000004
1,-6.143555,-0.614399,0.000000,-1.228802,-2.457031,-0.000004,0.000397,0.000000
1,-6.758789,-3.071999,0.615234,2.457600,0.615234,3.686401,0.000443,0.000004
1,0.000000,-3.071999,-6.758789,0.000000,-7.374023,-2.457600,0.000000,0.000004
1,5.529297,-1.843201,5.529297,-1.228798,12.288086,-1.228798,0.000259,0.000004
1,6.143555,-0.614399,0.614258,-1.228802,-4.915039,-0.000004,0.000397,0.000000
1,7.987305,1.228802,1.843750,0.614403,1.229492,1.843204,0.000168,0.000004
