is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,7.988281,-4.915199,-9.828125,1.228798,-25.800781,1.843197,0.021973,0.000008
1,3.070313,-2.457600,-4.917969,-2.457600,4.910156,-3.686398,0.006348,0.000004
1,7.371094,-4.915199,4.300781,2.457600,9.218750,4.915199,0.017578,0.000008
1,-0.613281,-1.843201,-6.757813,-3.071999,-11.058594,-5.529598,0.000488,0.000004
1,-16.589844,-3.686401,15.976563,1.843201,22.734375,4.915199,0.044434,0.000008
1,-0.613281,0.000000,-15.976563,-3.686401,-31.953125,-5.529602,0.000488,0.000000
1,23.347656,19.660801,22.734375,19.660801,38.710938,23.347202,0.061523,0.000034
1,15.972656,7.987202,-7.375000,-11.673599,-30.109375,-31.334400,0.040039,0.000015
1,2.457031,0.614403,-13.515625,-7.372799,-6.140625,4.300800,0.005859,0.000004
1,6.144531,0.000000,3.687500,-0.614403,17.203125,6.758396,0.016602,0.000000
1,44.851563,1.228798,38.707031,1.228798,35.019531,1.843201,0.117676,0.000000
1,39.937500,2.457603,-4.914063,1.228806,-43.621094,0.000008,0.105957,0.000008
1,6.757813,-2.457603,-33.179688,0.000000,-28.265625,-1.228806,0.017090,0.000008
1,0.613281,0.614403,-6.144531,-1.843201,27.035156,-1.843201,0.000488,0.000004
1,-0.613281,-1.228798,0.000000,0.614395,6.144531,2.457596,0.000488,0.000000
1,4.914063,-13.516800,4.300781,12.288002,4.300781,11.673607,0.011719,0.000023
1,25.191406,-26.419201,20.277344,12.902401,15.976563,0.614399,0.066895,0.000046
1,8.601563,-5.529600,-16.589844,-20.889601,-36.867188,-33.792000,0.022461,0.000010
1,0.000000,3.072001,-8.601563,-2.457600,7.988281,18.432001,0.000000,0.000006
1,-11.058594,18.431999,11.058594,15.359999,19.660156,17.817598,0.028320,0.000031
1,1.843750,11.059200,-9.214844,-7.372799,-20.273438,-22.732798,0.005371,0.000019
1,28.261719,13.516804,26.417969,2.457603,35.632813,9.830402,0.073242,0.000027
