is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,6.758423,15.974403,-15.974365,-15.974398,-38.707153,-47.308800,0.000076,0.000031
1,7.987183,-1.843201,1.228760,-14.131203,17.203125,1.843195,0.000046,0.000004
1,14.131226,-4.915199,6.144043,3.071999,4.915283,17.203201,0.000137,0.000008
1,21.504028,-14.745602,7.372803,9.830402,1.228760,6.758404,0.000198,0.000027
1,24.576050,-5.529598,3.072021,-9.216003,-4.300781,-19.046406,0.000244,0.000008
1,22.118408,-1.228802,-2.457642,-4.300797,-5.529663,4.915207,0.000183,0.000004
1,8.601563,-0.614399,-13.516846,-0.614403,-11.059204,3.686394,0.000031,0.000000
1,4.300781,-0.614399,-4.300781,0.000000,9.216064,0.614403,0.000015,0.000000
1,3.686401,-1.228802,-0.614380,0.614403,3.686401,0.614403,0.000031,0.000004
1,4.300781,-3.071999,0.614380,1.843197,1.228760,1.228794,0.000015,0.000004
1,3.072021,-3.072001,-1.228760,0.000002,-1.843140,-1.843195,0.000046,0.000006
1,64.511963,4.915201,61.439941,1.843201,62.668701,1.843199,0.000473,0.000010
1,0.000000,7.987202,-64.511963,3.072001,-125.951904,1.228800,0.000000,0.000015
1,7.372803,-4.300800,7.372803,-3.686401,71.884766,-6.758402,0.000061,0.000008
1,1.843140,-1.228802,-5.529663,-3.071999,-12.902466,0.614403,0.000046,0.000004
1,15.359985,-1.228802,13.516846,0.000000,19.046509,3.071999,0.000107,0.000004
1,14.131226,-3.071999,-1.228760,1.843197,-14.745605,1.843197,0.000137,0.000004
1,3.072021,-1.228802,-11.059204,-1.843197,-9.830444,-3.686394,0.000046,0.000004
1,2.457642,-1.843201,-0.614380,0.614399,10.444824,2.457596,0.000061,0.000004
1,1.843140,-1.843201,-0.614502,0.000000,-0.000122,-0.614399,0.000046,0.000004
1,0.614136,-1.228806,-1.229004,-0.614395,-0.614502,-0.614395,0.000259,0.000008
1,0.614136,-1.228806,-1.229004,-0.614395,-0.614502,-0.614395,0.000259,0.000008
1,0.614136,-1.228806,-1.229004,-0.614395,-0.614502,-0.614395,0.000259,0.000008
1,-25.804810,-4.300800,25.190674,3.071995,26.419678,3.686390,0.000214,0.000008
1,-1.843140,-1.228800,-23.961670,-3.072001,-49.152344,-6.143995,0.000046,0.000002
1,-1.228760,2.457600,-0.614380,1.228800,23.347290,4.300800,0.000031,0.000004
1,0.000000,1.228800,-1.228760,-1.228800,-0.614380,-2.457600,0.000000,0.000002
1,7.987183,1.228800,7.987183,0.000000,9.215942,1.228800,0.000046,0.000002
1,7.372803,-1.228800,-0.614380,0.000000,-8.601563,0.000000,0.000061,0.000002
1,-0.614380,-1.843201,-6.758423,0.614401,-6.144043,0.614401,0.000015,0.000004
1,-0.614380,-2.457600,0.000000,0.614399,6.758423,-0.000002,0.000015,0.000004
1,-1.228760,-0.614401,0.614380,-1.843199,0.614380,-2.457598,0.000031,0.000002
1,-4.300781,1.228800,3.072021,0.614399,2.457642,2.457598,0.000015,0.000002
1,-10.444824,3.072001,6.144043,1.843201,3.072021,1.228802,0.000107,0.000006
1,-11.059204,3.686399,0.614380,0.614399,-5.529663,-1.228802,0.000092,0.000006
1,-33.791992,2.457600,22.732788,-1.228800,22.118408,-1.843199,0.000259,0.000004
1,-13.516846,3.071999,-20.275146,0.614399,-43.007935,1.843199,0.000153,0.000004
1,1.843140,0.000000,-11.673706,-3.071999,8.601440,-3.686398,0.000046,0.000000
1,-0.614380,-0.614399,-1.228760,0.614399,10.444946,3.686398,0.000015,0.000000
1,2.457642,-1.843201,1.843262,1.228802,3.072021,0.614403,0.000061,0.000004
1,-3.686401,-3.072001,1.228760,1.228800,-0.614502,-0.000002,0.000031,0.000006
1,-4.915161,-1.843201,1.228760,-1.228800,0.000000,-2.457600,0.000000,0.000004
1,-7.987183,-0.614401,3.072021,-1.228800,1.843262,0.000000,0.000046,0.000002
1,-11.059204,-0.614401,3.072021,0.000000,0.000000,1.228800,0.000092,0.000002
1,-12.287964,0.614401,1.228760,0.000000,-1.843262,0.000000,0.000061,0.000002
1,-6.144043,0.614401,-6.143921,0.000000,-7.372681,0.000000,0.000092,0.000002
1,-10.444824,3.072001,4.300781,2.457600,10.444702,2.457600,0.000107,0.000006
1,-30.719971,0.000000,20.275146,-3.072001,15.974365,-5.529600,0.000214,0.000000
1,-4.300781,-1.228800,-26.419189,1.228800,-46.694336,4.300800,0.000015,0.000002
1,-1.228760,1.228800,-3.072021,0.000000,23.347168,-1.228800,0.000031,0.000002
1,-9.830444,3.686401,8.601685,2.457602,11.673706,2.457602,0.000122,0.000008
1,-6.144043,-1.843201,-3.686401,-1.843201,-12.288086,-4.300802,0.000092,0.000004
1,-7.372803,-4.300800,1.228760,2.457600,4.915161,4.300800,0.000061,0.000008
1,-4.915161,-2.457600,-2.457642,-1.843201,-3.686401,-4.300800,0.000000,0.000004
1,-3.686401,-1.843201,-1.228760,-0.614399,1.228882,1.228802,0.000031,0.000004
1,-3.686401,-0.614401,0.000000,-1.228800,1.228760,-0.614401,0.000031,0.000002
1,-4.300781,0.614401,0.614380,0.000000,0.614380,1.228800,0.000015,0.000002
1,-6.758423,2.457600,2.457642,1.843199,1.843262,1.843199,0.000076,0.000004
1,-7.372803,4.300800,0.614380,1.843201,-1.843262,0.000002,0.000061,0.000008
1,-5.529541,4.915199,-1.843262,0.614399,-2.457642,-1.228802,0.000015,0.000008
1,-18.432007,0.000000,12.902466,-4.915199,14.745728,-5.529598,0.000153,0.000000
1,4.300781,10.444801,-14.131226,10.444801,-27.033691,15.360001,0.000015,0.000019
1,-11.673584,0.614399,7.372803,-9.830402,21.504028,-20.275204,0.000076,0.000000
1,-12.287964,-9.216000,0.614380,8.601601,-6.758423,18.432003,0.000061,0.000015
1,-9.215942,-5.529598,-3.072021,-3.686401,-3.686401,-12.288002,0.000015,0.000008
1,-4.915161,-3.686399,-4.300781,-1.843199,-1.228760,1.843203,0.000000,0.000006
1,-2.457642,-1.228800,-2.457520,-2.457600,1.843262,-0.614401,0.000061,0.000002
1,-6.758423,-1.228800,4.300781,0.000000,6.758301,2.457600,0.000076,0.000002
1,-9.215942,-0.614401,2.457520,-0.614399,-1.843262,-0.614399,0.000015,0.000002
1,-13.516846,0.614401,4.300903,0.000000,1.843384,0.614399,0.000153,0.000002
1,-12.902344,2.457600,-0.614502,1.843199,-4.915405,1.843199,0.000046,0.000004
1,-7.372803,1.843201,-5.529541,-0.614399,-4.915039,-2.457598,0.000061,0.000004
1,-33.791992,4.915201,26.419189,3.072001,31.948730,3.686399,0.000259,0.000010
1,-5.529541,2.457600,-28.262451,-2.457602,-54.681641,-5.529602,0.000015,0.000004
1,-3.072021,1.843201,-2.457520,-0.614399,25.804932,1.843203,0.000046,0.000004
1,-10.444824,-1.228802,7.372803,-0.614399,9.830322,0.000000,0.000107,0.000004
1,-8.601563,-3.071999,-1.843262,1.843197,-9.216064,2.457596,0.000031,0.000004
1,-6.144043,-2.457600,-2.457520,-0.614399,-0.614258,-2.457596,0.000092,0.000004
1,-1.843140,-1.228800,-4.300903,-1.228800,-1.843384,-0.614401,0.000046,0.000002
1,-3.072021,-0.614401,1.228882,-0.614399,5.529785,0.614401,0.000046,0.000002
1,-6.758423,0.000000,3.686401,-0.614401,2.457520,-0.000002,0.000076,0.000000
1,-9.215942,0.000000,2.457520,0.000000,-1.228882,0.614401,0.000015,0.000000
1,-4.915161,0.614401,-4.300781,0.614401,-6.758301,0.614401,0.000000,0.000002
1,-4.300781,1.843199,-0.614380,1.228798,3.686401,0.614397,0.000015,0.000002
1,-11.059204,2.457600,6.758423,0.614401,7.372803,-0.614397,0.000092,0.000004
1,-17.203247,5.529602,6.144043,3.072002,-0.614380,2.457602,0.000183,0.000011
1,-0.614380,-1.228802,-16.588867,-4.300800,-22.732910,-7.372803,0.000015,0.000004
1,-7.372803,1.843201,6.758423,0.614399,23.347290,4.915199,0.000061,0.000004
1,-4.915161,0.614399,-2.457642,-1.228802,-9.216064,-1.843201,0.000000,0.000000
1,-3.686401,-0.614399,-1.228760,0.000000,1.228882,1.228802,0.000031,0.000000
1,-7.987183,-1.843201,4.300781,1.228802,5.529541,1.228802,0.000046,0.000004
1,-6.144043,-1.228802,-1.843140,-0.614399,-6.143921,-1.843201,0.000092,0.000004
1,-11.673584,-3.071999,5.529541,1.843197,7.372681,2.457596,0.000076,0.000004
1,-3.686401,-1.228802,-7.987183,-1.843197,-13.516724,-3.686394,0.000031,0.000004
1,-3.686401,-0.614399,0.000000,-0.614403,7.987183,1.228794,0.000031,0.000000
1,-12.287964,-0.614399,8.601563,0.000000,8.601563,0.614403,0.000061,0.000000
1,-47.308838,1.843201,35.020874,1.228802,26.419312,1.228802,0.000412,0.000004
1,2.457642,-2.457600,-44.851196,0.614399,-79.872070,-0.614403,0.000061,0.000004
1,-0.613892,0.614403,-1.843750,-1.843197,43.007446,-2.457596,0.000504,0.000004
1,-17.203247,-2.457600,16.589355,1.843197,18.433105,3.686394,0.000183,0.000004
1,-4.300781,1.228802,-12.902466,-1.228798,-29.491821,-3.071995,0.000015,0.000004
1,-6.144043,0.614399,1.843262,-0.614403,14.745728,0.614395,0.000092,0.000000
1,-1.843140,0.000000,-4.300903,-0.614399,-6.144165,0.000004,0.000046,0.000000
1,-5.529541,0.614399,3.686401,0.614399,7.987305,1.228798,0.000015,0.000000
1,-2.457642,0.000000,-3.071899,-0.614399,-6.758301,-1.228798,0.000061,0.000000
1,-8.601563,0.614399,6.143921,0.614399,9.215820,1.228798,0.000031,0.000000
1,-3.686401,0.614399,-4.915161,0.000000,-11.059082,-0.614399,0.000031,0.000000
1,-5.529541,0.614399,1.843140,0.000000,6.758301,0.000000,0.000015,0.000000
1,-31.334351,1.228802,25.804810,0.614403,23.961670,0.614403,0.000198,0.000004
1,-15.974365,4.300800,-15.359985,3.071999,-41.164795,2.457596,0.000092,0.000008
1,4.300781,2.457600,-11.673584,-1.843201,3.686401,-4.915199,0.000015,0.000004
1,-3.686401,-3.071999,-0.614380,0.614399,11.059204,2.457600,0.000031,0.000004
1,-1.843140,-2.457600,-1.843262,-0.614399,-1.228882,-1.228798,0.000046,0.000004
1,-4.915161,-1.843201,3.072021,-0.614399,4.915283,0.000000,0.000000,0.000004
