is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-0.615234,0.000000,0.615234,-1.843201,2.458984,-1.843201,0.002441,0.000000
1,-0.615234,0.000000,0.615234,-1.843201,2.458984,-1.843201,0.002441,0.000000
1,-2.457031,-1.228802,1.841797,1.228802,1.226563,3.072002,0.005859,0.000004
1,-3.072266,-3.686401,0.615234,2.457600,-1.226563,1.228798,0.008301,0.000008
1,-6.144531,-7.372799,3.072266,3.686398,2.457031,1.228798,0.016602,0.000011
1,-5.529297,-1.228802,-0.615234,-6.143997,-3.687500,-9.830395,0.014160,0.000004
1,-0.613281,1.843204,-4.916016,0.614403,-4.300781,6.758400,0.000488,0.000008
1,-54.066406,30.105606,53.453125,28.262402,58.369141,27.647999,0.140625,0.000057
1,-28.876953,0.614403,-25.189453,-29.491203,-78.642578,-57.753605,0.075684,0.000004
1,-19.046875,-1.228798,-9.830078,0.614395,15.359375,30.105598,0.050293,0.000000
1,-9.216797,-3.071999,-9.830078,1.843201,0.000000,1.228806,0.024902,0.000004
1,-7.373047,-3.071999,-1.843750,0.000000,7.986328,-1.843201,0.019531,0.000004
1,-4.916016,-4.300800,-2.457031,1.228802,-0.613281,1.228802,0.013672,0.000008
1,-1.843750,-4.915199,-3.072266,0.614399,-0.615234,-0.614403,0.005371,0.000008
1,-2.457031,-6.758400,0.613281,1.843201,3.685547,1.228802,0.005859,0.000011
1,-3.072266,-8.601601,0.615234,1.843201,0.001953,0.000000,0.008301,0.000015
1,0.000000,-11.673599,-3.072266,3.071999,-3.687500,1.228798,0.000000,0.000019
1,-1.843750,-4.915199,1.843750,-6.758400,4.916016,-9.830399,0.005371,0.000008
1,-0.615234,9.216000,-1.228516,4.300800,-3.072266,11.059200,0.002441,0.000015
1,-0.615234,6.144001,0.000000,-3.071999,1.228516,-7.372799,0.002441,0.000011
1,0.615234,3.686401,0.000000,-2.457600,0.000000,0.614399,0.002441,0.000008
1,-0.615234,2.457600,0.000000,-1.228802,0.000000,1.228798,0.002441,0.000004
1,0.000000,0.614399,-0.615234,-1.843201,-0.615234,-0.614399,0.000000,0.000000
1,0.000000,0.614399,-0.615234,-1.843201,-0.615234,-0.614399,0.000000,0.000000
1,-0.615234,-1.843201,0.615234,1.228802,1.230469,3.072002,0.002441,0.000004
1,0.000000,-2.457600,-0.615234,0.614399,-1.230469,-0.614403,0.000000,0.000004
1,-0.615234,-4.300800,0.615234,1.843201,1.230469,1.228802,0.002441,0.000008
1,0.615234,-5.529598,0.000000,1.228798,-0.615234,-0.614403,0.002441,0.000008
1,1.843750,-8.601601,1.228516,3.072002,1.228516,1.843204,0.005371,0.000015
1,0.615234,-3.072001,-1.228516,-5.529600,-2.457031,-8.601603,0.002441,0.000006
1,5.529297,15.974401,4.914063,12.902401,6.142578,18.432001,0.014160,0.000029
1,3.685547,11.059200,-1.843750,-4.915201,-6.757813,-17.817602,0.008789,0.000019
1,6.757813,8.601601,3.072266,-2.457600,4.916016,2.457602,0.017090,0.000015
1,7.986328,6.143997,1.228516,-2.457603,-1.843750,-0.000004,0.020020,0.000008
1,15.359375,4.300804,7.373047,-1.843193,6.144531,0.614410,0.039551,0.000011
1,16.587891,2.457603,1.228516,-1.843201,-6.144531,-0.000008,0.042480,0.000008
1,19.660156,0.000000,3.072266,-2.457603,1.843750,-0.614403,0.050781,0.000000
1,20.275391,-2.457603,0.615234,2.457603,-2.457031,4.915207,0.053223,0.000008
1,14.746094,-5.529602,-5.529297,3.071999,-6.144531,0.614395,0.039063,0.000011
1,12.902344,-9.216000,-1.843750,3.686398,3.685547,0.614399,0.033691,0.000015
1,9.216797,-13.516800,-3.685547,4.300800,-1.841797,0.614403,0.024902,0.000023
1,5.529297,-6.758400,-3.687500,-6.758400,-0.001953,-11.059200,0.014160,0.000011
1,14.130859,17.203201,8.601563,10.444801,12.289063,17.203201,0.036621,0.000031
1,12.902344,8.601601,-1.228516,-8.601601,-9.830078,-19.046402,0.033691,0.000015
1,12.287109,5.529598,-0.615234,-3.072002,0.613281,5.529598,0.031250,0.000008
1,12.287109,2.457603,0.000000,-3.071995,0.615234,0.000008,0.031250,0.000008
1,14.130859,0.000000,1.843750,-2.457603,1.843750,0.614391,0.036621,0.000000
1,13.517578,-1.228798,-0.613281,1.228798,-2.457031,3.686401,0.036133,0.000000
1,10.445313,-2.457600,-3.072266,1.228802,-2.458984,0.000004,0.027832,0.000004
1,7.373047,-3.686401,-3.072266,1.228802,0.000000,0.000000,0.019531,0.000008
1,7.986328,-5.529598,0.613281,1.843197,3.685547,0.614395,0.020020,0.000008
1,8.601563,-7.987202,0.615234,2.457603,0.001953,0.614407,0.022461,0.000015
1,4.300781,-11.673599,-4.300781,3.686398,-4.916016,1.228794,0.011230,0.000019
1,7.373047,-4.915199,3.072266,-6.758400,7.373047,-10.444798,0.019531,0.000008
1,10.445313,17.203201,3.072266,12.288002,0.000000,19.046402,0.027832,0.000031
1,1.851563,1.843174,-8.593750,-15.360027,-11.666016,-27.648029,0.013184,0.000023
1,19.046875,14.131203,17.195313,12.288029,25.789063,27.648056,0.050293,0.000027
1,15.359375,3.686401,-3.687500,-10.444801,-20.882813,-22.732830,0.039551,0.000008
1,14.746094,1.228798,-0.613281,-2.457603,3.074219,7.987198,0.039063,0.000000
1,16.587891,0.000000,1.841797,-1.228798,2.455078,1.228806,0.042480,0.000000
1,11.673828,-1.843201,-4.914063,1.843201,-6.755859,3.071999,0.030762,0.000004
1,12.902344,-3.686401,1.228516,1.843201,6.142578,0.000000,0.033691,0.000008
1,9.830078,-6.144001,-3.072266,2.457600,-4.300781,0.614399,0.025391,0.000011
1,7.373047,-7.987202,-2.457031,1.843201,0.615234,-0.614399,0.019531,0.000015
1,7.373047,-12.288002,0.000000,4.300800,2.457031,2.457600,0.019531,0.000023
1,6.757813,-5.529600,-0.615234,-6.758402,-0.615234,-11.059202,0.017090,0.000010
1,10.445313,16.588800,3.687500,11.059200,4.302734,17.817602,0.027832,0.000029
1,11.673828,9.830402,1.228516,-6.758398,-2.458984,-17.817598,0.030762,0.000019
1,9.216797,6.144001,-2.457031,-3.686401,-3.685547,3.071997,0.024902,0.000011
1,12.287109,4.300800,3.070313,-1.843201,5.527344,1.843201,0.031250,0.000008
1,12.902344,1.843201,0.615234,-2.457600,-2.455078,-0.614399,0.033691,0.000004
1,16.587891,0.614403,3.685547,-1.228798,3.070313,1.228802,0.042480,0.000004
1,15.359375,-0.614403,-1.228516,0.000000,-4.914063,1.228798,0.039551,0.000004
1,12.902344,-2.457603,-2.457031,1.843201,-1.228516,1.843201,0.033691,0.000008
1,11.058594,-5.529602,-1.843750,3.071999,0.613281,1.228798,0.028320,0.000011
1,11.058594,-7.987202,0.000000,2.457600,1.843750,-0.614399,0.028320,0.000015
1,7.986328,-12.287998,-3.072266,4.300797,-3.072266,1.843197,0.020020,0.000019
1,9.216797,-6.144001,1.230469,-6.143997,4.302734,-10.444794,0.024902,0.000011
1,15.359375,18.432003,6.142578,12.288002,4.912109,18.431999,0.039551,0.000034
1,11.673828,9.216000,-3.685547,-9.216003,-9.828125,-21.504005,0.030762,0.000015
1,14.130859,5.529598,2.457031,-3.686401,6.142578,5.529602,0.036621,0.000008
1,14.130859,1.843201,0.000000,-3.686398,-2.457031,0.000004,0.036621,0.000004
1,15.359375,0.000000,1.228516,-1.843201,1.228516,1.843197,0.039551,0.000000
1,8.601563,-0.614403,-6.757813,0.614403,-7.986328,2.457603,0.022461,0.000004
1,9.216797,-3.071999,0.615234,2.457596,7.373047,1.843193,0.024902,0.000004
1,6.757813,-3.686401,-2.458984,0.614403,-3.074219,-1.843193,0.017090,0.000008
1,3.685547,-5.529602,-3.072266,1.843201,-0.613281,1.228798,0.008789,0.000011
1,3.685547,-7.987202,0.000000,2.457600,3.072266,0.614399,0.008789,0.000015
1,4.300781,-12.902401,0.615234,4.915199,0.615234,2.457600,0.011230,0.000023
1,1.228516,-5.529600,-3.072266,-7.372801,-3.687500,-12.288000,0.002930,0.000010
1,1.843750,10.444799,0.615234,4.915199,3.687500,12.288000,0.005371,0.000017
1,1.228516,6.758400,-0.615234,-3.686399,-1.230469,-8.601599,0.002930,0.000011
1,-1.228516,3.686401,0.000000,-3.071999,0.615234,0.614401,0.002930,0.000008
1,-1.843750,1.843201,0.615234,-1.843201,0.615234,1.228798,0.005371,0.000004
1,-1.228516,0.614399,-0.615234,-1.228802,-1.230469,0.614399,0.002930,0.000000
1,-2.455078,-1.228764,1.226563,0.614365,1.841797,1.843166,0.003906,0.000034
1,-1.843750,0.614399,-0.611328,-0.614365,-1.837891,-1.228729,0.005371,0.000000
1,-3.685547,-2.457600,1.841797,1.843201,2.453125,2.457565,0.008789,0.000004
1,-3.072266,-3.071999,-0.613281,0.614399,-2.455078,-1.228802,0.008301,0.000004
1,-5.529297,-6.144001,2.457031,3.072002,3.070313,2.457603,0.014160,0.000011
1,-3.072266,-9.216000,-2.457031,3.071999,-4.914063,-0.000004,0.008301,0.000015
1,-6.757813,-3.072001,3.685547,-6.143999,6.142578,-9.215998,0.017090,0.000006
1,-11.058594,18.432001,4.300781,15.360001,0.615234,21.504000,0.028320,0.000032
1,-10.445313,11.059200,-0.613281,-7.372801,-4.914063,-22.732801,0.027832,0.000019
1,-14.746094,6.758404,4.300781,-4.300797,4.914063,3.072004,0.039063,0.000015
1,-18.431641,3.686401,3.685547,-3.072002,-0.615234,1.228794,0.047852,0.000008
1,-21.503906,0.614403,3.072266,-3.071999,-0.613281,0.000004,0.056152,0.000004
