is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,5.529663,-44.237133,-2.457520,39.936337,-3.071899,40.550735,0.000107,0.000683
1,1.228821,0.614404,-4.300842,-43.622730,-1.843323,-83.559067,0.000031,0.000009
1,-13.516785,0.614404,12.287964,0.000000,16.588806,43.622730,0.000092,0.000009
1,0.000000,50.381115,-13.516785,49.766712,-25.804749,49.766712,0.000000,0.000713
1,5.529602,-3.072002,5.529602,-47.309113,19.046387,-97.075821,0.000046,0.000027
1,1.843140,-6.144001,-3.686462,3.071999,-9.216064,50.381111,0.000046,0.000050
1,-4.915222,-1.228798,3.072083,-4.915203,6.758545,-7.987202,0.000061,0.000008
1,-16.588806,2.457600,11.673584,1.228802,8.601501,6.144005,0.000137,0.000019
1,-41.779236,3.072002,25.190430,0.614403,13.516846,-0.614399,0.000366,0.000027
1,-13.516846,3.686398,-28.262390,0.614395,-53.452820,-0.000008,0.000153,0.000027
1,-13.516785,-1.228798,-0.000061,-2.457600,28.262329,-3.071995,0.000092,0.000008
1,-5.529663,-5.529598,-7.987122,4.300800,-7.987061,6.758400,0.000107,0.000042
1,-41.165100,-43.622658,35.635437,38.093060,43.622559,33.792259,0.000626,0.000603
1,-3.686401,0.000000,-37.478699,-43.622658,-73.114136,-81.715714,0.000031,0.000000
1,18.432190,0.614404,14.745789,0.614404,52.224487,44.237061,0.000336,0.000009
1,-9.830444,19.046635,-8.601746,18.432230,-23.347534,17.817825,0.000122,0.000385
1,-18.432007,-3.686401,8.601563,-15.360233,17.203308,-33.792465,0.000153,0.000031
1,-12.287964,-3.071997,-6.144043,-0.614405,-14.745605,14.745829,0.000061,0.000021
1,0.000000,-1.228805,-12.287964,-1.843192,-6.143921,-1.228787,0.000000,0.000014
1,-6.143982,0.614405,6.143982,-0.614400,18.431946,1.228792,0.000031,0.000010
1,-7.987244,3.686400,1.843262,3.071996,-4.300720,3.686396,0.000107,0.000030
1,-5.529602,1.843203,-2.457642,-1.843198,-4.300903,-4.915194,0.000046,0.000017
1,-7.987183,1.843203,2.457581,0.000000,4.915222,1.843198,0.000046,0.000017
1,-3.071899,1.228798,-4.915283,-0.614405,-7.372864,-0.614405,0.000076,0.000008
1,17.817749,-20.889742,14.745850,19.660944,19.661133,20.275349,0.000290,0.000307
1,-1.843201,0.000000,-15.974548,-20.889742,-30.720398,-40.550686,0.000015,0.000000
1,-30.720123,0.000000,28.876923,0.000000,44.851471,20.889742,0.000366,0.000000
1,11.673615,24.576147,-19.046509,24.576147,-47.923431,24.576147,0.000107,0.000341
1,20.889709,1.228802,9.216095,-23.347345,28.262604,-47.923492,0.000275,0.000011
1,35.635315,1.843206,14.745605,0.614405,5.529510,23.961750,0.000397,0.000021
1,34.406433,1.843203,-1.228882,-0.000004,-15.974487,-0.614408,0.000305,0.000017
1,66.355286,0.614393,31.948853,-1.228809,33.177734,-1.228806,0.000610,0.000002
1,36.249634,4.300798,-30.105652,3.686405,-62.054504,4.915215,0.000320,0.000032
1,28.262390,1.228794,-7.987244,-3.072004,22.118408,-6.758410,0.000214,0.000004
1,9.830444,1.228798,-18.431946,0.000004,-10.444702,3.072008,0.000122,0.000008
1,4.300720,0.614403,-5.529724,-0.614395,12.902222,-0.614399,0.000046,0.000008
1,54.681946,-37.478638,50.381226,36.864235,55.910950,37.478630,0.000778,0.000534
1,0.000000,0.614404,-54.681946,-36.864235,-105.063171,-73.728470,0.000000,0.000009
1,-19.046814,0.000000,19.046814,-0.614404,73.728760,36.249832,0.000565,0.000000
