is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,2.399994,7.050000,2.399994,-0.900000,4.949982,-6.600000,0.000000,0.000018
1,2.100006,1.350000,-0.299988,-5.700000,-2.699982,-4.800000,0.000011,0.000003
1,2.399994,-3.750000,0.299988,2.400000,0.599976,8.100000,0.000000,0.000010
1,1.950012,-4.200000,-0.449982,0.450000,-0.749969,-1.950000,0.000017,0.000011
1,2.250000,-4.350000,0.299988,0.150000,0.749969,-0.300000,0.000006,0.000011
1,2.850006,-4.200000,0.600006,-0.150000,0.300018,-0.300000,0.000013,0.000011
1,2.850006,-4.200000,0.000000,-0.000000,-0.600006,0.150000,0.000013,0.000010
1,3.899994,-1.500000,1.049988,-2.700000,1.049988,-2.699999,0.000004,0.000004
1,2.250000,0.600000,-1.649994,-0.900000,-2.699982,1.800000,0.000006,0.000002
1,3.000000,4.650000,0.750000,4.049999,2.399994,4.949999,0.000008,0.000011
1,3.299988,5.700000,0.299988,1.050001,-0.450012,-2.999999,0.000004,0.000015
1,1.799988,8.250000,-1.500000,2.550000,-1.799988,1.499999,0.000008,0.000021
1,1.200012,6.300000,-0.599976,-1.950000,0.900024,-4.500000,0.000015,0.000016
1,-0.299988,-0.300000,-0.900024,-6.000000,-0.300049,-4.049999,0.000011,0.000001
1,0.000000,-4.200000,-0.299988,3.900000,0.600037,9.900000,0.000000,0.000011
1,-0.149994,-5.700000,0.149994,1.500000,0.449982,-2.400000,0.000006,0.000015
1,-1.649994,-7.350000,1.500000,1.650000,1.350006,0.150000,0.000002,0.000019
1,-2.399994,-6.600000,0.750000,-0.750000,-0.750000,-2.400000,0.000000,0.000017
1,-1.200012,-7.500000,-1.199982,0.900000,-1.949982,1.650000,0.000015,0.000019
1,-0.299988,-1.350000,-0.900024,-6.150000,0.299957,-7.049999,0.000011,0.000004
1,-2.549988,-1.049999,2.250000,-0.300001,3.150024,5.849998,0.000006,0.000002
1,1.049988,6.150000,-1.500000,5.100000,-3.750000,5.400002,0.000010,0.000015
1,-0.899994,5.850000,-0.149994,-0.299999,1.350006,-5.400000,0.000004,0.000015
1,-1.649994,14.400001,0.750000,8.550000,0.899994,8.849999,0.000002,0.000037
1,-0.750000,12.300000,-0.899994,-2.100000,-1.649994,-10.650001,0.000002,0.000031
1,-1.500000,0.750000,0.750000,-11.550000,1.649994,-9.450000,0.000004,0.000002
1,-1.350006,1.350000,-0.149994,0.600000,-0.899994,12.150001,0.000010,0.000004
1,-4.500000,-10.800000,3.149994,9.450000,3.299988,8.849999,0.000011,0.000028
1,-2.250000,-12.900001,-2.250000,2.100000,-5.399994,-7.349999,0.000006,0.000033
1,-5.250000,-12.299999,3.000000,-0.600001,5.250000,-2.700002,0.000013,0.000031
1,-4.799988,-10.350000,-0.450012,-1.949999,-3.450012,-1.349998,0.000000,0.000027
1,-3.299988,-4.949999,-1.500000,-5.400002,-1.049988,-3.450003,0.000004,0.000011
1,-4.200012,-2.400002,0.900024,-2.549997,2.400024,2.850004,0.000023,0.000008
1,-2.100006,7.799999,-2.100006,5.399998,-3.000031,7.949995,0.000011,0.000019
1,-1.200012,9.750000,-0.899994,1.950001,1.200012,-3.449997,0.000015,0.000025
1,-0.299988,-22.950001,-0.900024,13.200001,-0.000031,11.250000,0.000011,0.000059
1,2.399994,16.800001,2.100006,-6.150000,3.000031,-19.350000,0.000000,0.000044
1,0.600006,-1.200001,-1.799988,-15.600000,-3.899994,-9.450001,0.000008,0.000004
1,1.649994,0.600000,1.049988,-0.600000,2.849976,15.000000,0.000002,0.000002
1,1.049988,0.299999,0.299988,-0.450001,-0.450012,-0.150002,0.000010,0.000000
1,-1.950012,-0.150002,0.900024,-0.149998,0.600037,0.300003,0.000017,0.000002
1,0.750000,0.450001,-1.200012,0.299999,-2.100037,0.449997,0.000002,0.000002
1,0.750000,-1.950001,0.000000,1.500000,1.200012,1.200001,0.000002,0.000006
1,-0.600006,-0.150002,-0.149994,-1.799999,-0.149994,-3.299999,0.000008,0.000002
1,0.600006,-1.349998,0.000000,1.199997,0.149994,2.999996,0.000008,0.000002
1,-1.350006,-0.299999,0.750000,-1.049999,0.750000,-2.249996,0.000010,0.000000
1,0.000000,-1.950001,-1.350006,1.650002,-2.100006,2.700001,0.000000,0.000006
1,0.149994,0.450001,0.149994,-1.500000,1.500000,-3.150002,0.000006,0.000002
1,0.750000,0.900002,0.600006,0.450001,0.450012,1.950001,0.000002,0.000004
1,0.000000,0.299999,-0.750000,-0.600002,-1.350006,-1.050003,0.000000,0.000000
1,0.299988,5.099998,0.299988,4.799999,1.049988,5.400002,0.000011,0.000011
1,-0.450012,-2.250000,0.150024,-2.849998,-0.149963,-7.649998,0.000013,0.000006
1,-0.450012,-1.950001,0.000000,-0.299999,-0.150024,2.549999,0.000013,0.000006
1,-0.450012,-1.950001,0.000000,0.000000,0.000000,0.299999,0.000013,0.000006
1,0.149994,1.200001,-0.300018,-0.750000,-0.300018,-0.750000,0.000006,0.000004
1,-0.600006,-0.599998,0.450012,-0.600002,0.750031,0.149998,0.000008,0.000000
1,-1.649994,-1.049999,1.049988,0.450001,0.599976,1.050003,0.000002,0.000002
1,0.750000,-1.799999,-0.899994,0.750000,-1.949982,0.299999,0.000002,0.000004
1,-0.299988,-1.200001,-0.450012,-0.599998,0.449982,-1.349998,0.000011,0.000004
1,-0.750000,-0.750000,0.450012,-0.450001,0.900024,0.149998,0.000002,0.000002
1,0.600006,-0.450001,-0.149994,-0.299999,-0.600006,0.150002,0.000008,0.000002
1,-0.600006,-1.350000,0.000000,0.900000,0.149994,1.199999,0.000008,0.000004
1,0.299988,0.299999,-0.300018,-1.050001,-0.300018,-1.950001,0.000011,0.000000
1,0.899994,-0.750000,0.600006,0.450001,0.900024,1.500002,0.000004,0.000002
1,-0.750000,0.150000,-0.149994,-0.600000,-0.750000,-1.050001,0.000002,0.000000
1,-0.450012,-0.299999,-0.299988,0.150000,-0.149994,0.750000,0.000013,0.000000
1,1.500000,0.150000,1.049988,-0.150000,1.349976,-0.299999,0.000004,0.000000
1,-1.500000,0.150000,0.000000,0.000000,-1.049988,0.150000,0.000004,0.000000
1,0.750000,0.150000,-0.750000,0.000000,-0.750000,0.000000,0.000002,0.000000
1,-0.899994,0.750000,0.149994,0.600000,0.899994,0.600000,0.000004,0.000002
1,0.299988,-0.299999,-0.600006,-0.450001,-0.750000,-1.050001,0.000011,0.000000
1,0.600006,-0.450001,0.300018,0.150002,0.900024,0.600002,0.000008,0.000002
1,0.149994,0.750000,-0.450012,0.299999,-0.750031,0.149998,0.000006,0.000002
1,0.299988,-0.150000,0.149994,-0.600000,0.600006,-0.900000,0.000011,0.000000
1,-0.899994,-0.600000,0.600006,0.450001,0.450012,1.050001,0.000004,0.000002
1,0.750000,1.049999,-0.149994,0.449999,-0.750000,-0.000002,0.000002,0.000002
1,-0.450012,-0.900000,-0.299988,-0.150000,-0.149994,-0.599998,0.000013,0.000002
1,0.750000,1.049999,0.299988,0.150000,0.599976,0.299999,0.000002,0.000002
1,0.149994,-0.600000,-0.600006,-0.449999,-0.899994,-0.599998,0.000006,0.000002
1,-1.200012,0.450001,1.050018,-0.150000,1.650024,0.299999,0.000015,0.000002
1,-0.600006,-0.450001,-0.600006,0.000000,-1.650024,0.150000,0.000008,0.000002
1,1.799988,0.000000,1.199982,-0.450001,1.799988,-0.450001,0.000008,0.000000
1,-1.350006,-0.750000,-0.449982,0.750000,-1.649963,1.200001,0.000010,0.000002
1,0.600006,-0.299999,-0.750000,-0.450001,-0.300018,-1.200001,0.000008,0.000000
1,-1.200012,0.000000,0.600006,-0.299999,1.350006,0.150002,0.000015,0.000000
1,0.899994,0.450001,-0.300018,0.450001,-0.900024,0.750000,0.000004,0.000002
1,-0.450012,0.150000,-0.449982,-0.300001,-0.149963,-0.750002,0.000013,0.000000
1,0.450012,0.900000,0.000000,0.750000,0.449982,1.050001,0.000013,0.000002
1,0.600006,-1.500000,0.149994,0.600000,0.149994,-0.150000,0.000008,0.000004
1,-1.200012,1.500000,0.600006,0.000000,0.450012,-0.600000,0.000015,0.000004
1,-0.149994,-0.299999,0.000000,-1.350002,-0.149994,-0.000004,0.000006,0.000000
1,1.500000,-1.650002,1.350006,1.350002,1.350006,2.700005,0.000004,0.000006
1,0.000000,-0.150002,-1.500000,-1.500000,-2.850006,-2.850002,0.000000,0.000002
1,-1.500000,0.000000,1.500000,-0.150002,3.000000,1.349998,0.000004,0.000000
1,1.200012,-0.299999,-0.299988,0.299999,-1.799988,0.450001,0.000015,0.000000
1,-0.149994,-1.349998,-1.050018,1.049999,-0.750031,0.750000,0.000006,0.000002
1,-0.899994,1.049999,0.750000,-0.299999,1.800018,-1.349998,0.000004,0.000002
1,0.149994,-0.150002,-0.750000,-0.899998,-1.500000,-0.599998,0.000006,0.000002
1,-0.600006,-0.150002,0.450012,0.000000,1.200012,0.899998,0.000008,0.000002
1,1.799988,1.349998,1.199982,1.199997,0.749969,1.199997,0.000008,0.000002
1,-0.600006,2.400002,-1.199982,1.050003,-2.399963,-0.149994,0.000008,0.000008
1,0.299988,0.000000,-0.300018,-2.400002,0.899963,-3.450005,0.000011,0.000000
1,-0.600006,-1.200001,0.300018,1.200001,0.600037,3.600002,0.000008,0.000004
1,-0.450012,-1.950001,-0.149994,0.750000,-0.450012,-0.450001,0.000013,0.000006
1,-2.100006,-1.799999,1.649994,-0.150002,1.799988,-0.900002,0.000011,0.000004
1,-1.049988,0.450001,-1.050018,-1.349998,-2.700012,-1.199997,0.000010,0.000002
1,-2.700012,-1.799999,1.650024,1.349998,2.700043,2.699997,0.000019,0.000004
1,-3.000000,0.000000,0.299988,-1.799999,-1.350037,-3.149998,0.000008,0.000000
1,-4.350006,0.000000,1.350006,0.000000,1.050018,1.799999,0.000017,0.000000
1,-2.700012,0.000000,-1.649994,0.000000,-3.000000,0.000000,0.000019,0.000000
1,-2.399994,1.650002,-0.300018,1.650002,1.349976,1.650002,0.000000,0.000006
1,-3.000000,0.599998,0.600006,-1.050003,0.900024,-2.700005,0.000008,0.000000
1,-4.649994,3.750000,1.649994,3.150002,1.049988,4.200005,0.000006,0.000010
1,-2.549988,-0.150002,-2.100006,-3.599998,-3.750000,-6.750000,0.000006,0.000002
1,-3.600006,-1.799999,1.050018,1.649998,3.150024,5.249996,0.000015,0.000004
1,-2.549988,-1.349998,-1.050018,-0.450001,-2.100037,-2.099998,0.000006,0.000002
1,-4.350006,0.599998,1.800018,-0.750000,2.850037,-0.299999,0.000017,0.000000
1,-3.899994,-0.150002,-0.450012,-0.449997,-2.250031,0.300003,0.000004,0.000002
1,-2.700012,-0.750000,-1.199982,0.599998,-0.749969,1.049995,0.000019,0.000002
1,-4.350006,-1.349998,1.649994,0.599998,2.849976,0.000000,0.000017,0.000002
1,-6.000000,-0.150002,1.649994,-1.199997,0.000000,-1.799995,0.000015,0.000002
1,-3.450012,1.200001,-2.549988,1.049999,-4.199982,2.249996,0.000021,0.000004
1,-3.149994,-1.650002,-0.300018,0.450001,2.249969,-0.599998,0.000002,0.000006
1,-3.450012,0.000000,0.300018,-1.650002,0.600037,-2.100002,0.000021,0.000000
1,-2.100006,0.900002,-1.350006,0.900002,-1.650024,2.550003,0.000011,0.000004
1,-3.450012,-2.250000,1.350006,1.349998,2.700012,0.449997,0.000021,0.000006
1,-4.350006,-2.250000,0.899994,0.000000,-0.450012,-1.349998,0.000017,0.000006
1,-3.000000,-1.950001,-1.350006,-0.299999,-2.250000,-0.299999,0.000008,0.000006
1,-1.500000,3.599998,-1.500000,1.649998,-0.149994,1.949997,0.000004,0.000008
1,-3.149994,-4.350000,1.649994,0.750002,3.149994,-0.899996,0.000002,0.000011
1,-3.899994,-6.300001,0.750000,1.950001,-0.899994,1.199999,0.000004,0.000017
1,-3.000000,-0.900000,-0.899994,-5.400002,-1.649994,-7.350002,0.000008,0.000002
1,-2.550003,-4.350000,-0.449997,3.450001,0.449997,8.850002,0.000010,0.000011
1,-3.899994,-3.450000,1.349991,-0.900001,1.799988,-4.350001,0.000004,0.000009
1,-1.199997,3.450000,-2.699997,0.000000,-4.049988,0.900001,0.000000,0.000009
1,-2.850006,1.799999,1.650009,-1.650001,4.350006,-1.650001,0.000013,0.000004
1,-1.649994,0.900000,-1.200012,-0.900000,-2.850021,0.750001,0.000002,0.000002
1,-2.399994,1.049999,0.750000,0.150000,1.950012,1.049999,0.000000,0.000002
1,-4.050003,-2.100000,1.650009,1.050001,0.900009,0.900002,0.000013,0.000006
1,-2.250000,-2.250000,-1.800003,0.150000,-3.450012,-0.900002,0.000006,0.000006
1,-1.199997,-2.400000,-1.050003,0.150000,0.750000,0.000000,0.000000,0.000006
1,-2.699997,4.650000,1.500000,2.250000,2.550003,2.100000,0.000004,0.000011
1,-1.949997,3.450001,-0.750000,-1.199999,-2.250000,-3.449999,0.000002,0.000010
1,-2.100006,-2.700001,0.150009,-0.750000,0.900009,0.449999,0.000011,0.000008
1,-2.850006,-1.350000,0.750000,-1.350000,0.599991,-0.600000,0.000013,0.000004
1,-2.100006,-3.450000,-0.750000,2.099999,-1.500000,3.450000,0.000011,0.000009
