is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-8.914063,-2.237881,1.541016,2.199192,10.869141,6.337807,0.301865,0.219715
1,-0.384766,-2.194370,-8.529297,-0.043510,-10.070313,-2.242702,0.229630,0.263226
1,4.382813,-2.426041,3.998047,0.231670,12.527344,0.275181,0.082047,0.031555
1,11.673828,-5.935146,7.291016,3.509106,3.292969,3.277435,0.000320,0.208843
1,-1.228516,-9.402271,-10.445313,3.467125,-17.736328,-0.041981,0.000275,0.186287
1,-3.685547,-3.611277,2.457031,-5.790995,12.902344,-9.258120,0.000824,0.075117
1,-12.902344,11.319132,9.216797,7.707855,6.759766,13.498850,0.000046,0.259951
1,-6.759766,6.850739,-6.142578,-4.468393,-15.359375,-12.176249,0.001419,0.092350
1,5.529297,4.130924,-1.230469,-2.719814,4.912109,1.748579,0.000259,0.169868
1,14.132813,2.370274,8.603516,-1.760651,9.833984,0.959164,0.001724,0.087322
1,7.371094,1.097229,-6.761719,-1.273045,-15.365234,0.487606,0.001648,0.131569
1,-1.228516,0.038689,-6.142578,-1.058540,0.619141,0.214504,0.000275,0.038689
1,-16.287109,-2.545078,15.058594,2.506390,21.201172,3.564930,0.301559,0.087482
1,-0.845703,-1.963974,-15.441406,-0.581104,-30.500000,-3.087494,0.231308,0.120777
1,-4.371094,-2.963638,3.525391,0.999664,18.966797,1.580769,0.070328,0.108356
1,13.517578,-5.935146,9.146484,2.971508,5.621094,1.971844,0.000885,0.208843
1,9.214844,-9.402271,-4.302734,3.467125,-13.449219,0.495617,0.001083,0.186287
1,-0.613281,-3.611279,-8.601563,-5.790993,-4.298828,-9.258118,0.001114,0.075115
1,-12.289063,11.319134,11.675781,7.707855,20.277344,13.498848,0.001160,0.259953
1,-11.058594,6.850739,-1.230469,-4.468395,-12.906250,-12.176250,0.000519,0.092350
1,-0.613281,4.130924,-10.445313,-2.719814,-9.214844,1.748581,0.001114,0.169868
1,7.371094,2.370274,6.757813,-1.760651,17.203125,0.959164,0.001648,0.087322
1,17.818359,1.097229,10.447266,-1.273045,3.689453,0.487606,0.000900,0.131569
1,4.916016,0.038689,-12.902344,-1.058540,-23.349609,0.214504,0.000854,0.038689
1,-21.203125,-1.930679,16.287109,1.891991,29.189453,2.950531,0.300705,0.087482
1,-2.228516,-1.963974,-18.974609,0.033295,-35.261719,-1.858696,0.229065,0.120777
