is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-4.300781,1.228802,1.843262,-1.228798,0.000000,-1.228798,0.000015,0.000004
1,0.614258,0.000000,-3.686523,-1.228802,-5.529785,-0.000004,0.000137,0.000000
1,0.614258,-1.228802,0.000000,1.228802,3.686523,2.457603,0.000137,0.000004
1,1.229004,-2.457600,0.614746,1.228798,0.614746,-0.000004,0.000214,0.000004
1,-2.457520,-4.915199,1.228516,2.457600,0.613770,1.228802,0.000061,0.000008
1,0.000000,-4.300800,-2.457520,-0.614399,-3.686035,-3.071999,0.000000,0.000008
1,1.229004,0.000000,1.229004,-4.300800,3.686523,-3.686401,0.000214,0.000000
1,0.000000,2.457600,-1.229004,2.457600,-2.458008,6.758400,0.000000,0.000004
1,1.229004,3.071999,1.229004,0.614399,2.458008,-1.843201,0.000214,0.000004
1,-2.457520,2.457600,1.228516,-0.614399,-0.000488,-1.228798,0.000061,0.000004
1,0.614258,2.457600,-1.843262,0.000000,-3.071777,0.614399,0.000137,0.000004
1,0.614258,1.228802,0.000000,-1.228798,1.843262,-1.228798,0.000137,0.000004
1,-2.457520,0.614399,1.843262,-0.614403,1.843262,0.614395,0.000061,0.000000
1,1.843262,0.000000,-0.614258,-0.614399,-2.457520,0.000004,0.000076,0.000000
1,1.843262,0.000000,-0.614258,-0.614399,-2.457520,0.000004,0.000076,0.000000
1,0.000000,-1.843201,-1.843262,1.843201,-1.229004,2.457600,0.000000,0.000004
1,0.000000,-4.915199,0.000000,3.071999,1.843262,1.228798,0.000000,0.000008
1,0.000000,-4.300800,0.000000,-0.614399,0.000000,-3.686398,0.000000,0.000008
1,0.000000,-4.300800,0.000000,-0.614399,0.000000,-3.686398,0.000000,0.000008
1,1.229004,1.228802,1.229004,-3.071999,1.229004,-2.457600,0.000214,0.000004
1,1.843262,3.071999,0.614258,1.843197,-0.614746,4.915195,0.000076,0.000004
1,-0.614258,2.457600,-1.229004,-0.614399,-1.843262,-2.457596,0.000137,0.000004
1,-2.457520,2.457600,1.843262,0.000000,3.072266,0.614399,0.000061,0.000004
1,0.614258,1.843201,-1.843262,-0.614399,-3.686523,-0.614399,0.000137,0.000004
1,2.457520,0.000000,1.843262,-1.843201,3.686523,-1.228802,0.000061,0.000000
1,-0.614258,0.000000,-1.843262,0.000000,-3.686523,1.843201,0.000137,0.000000
1,-0.614258,0.000000,0.000000,0.000000,1.843262,0.000000,0.000137,0.000000
1,0.000000,-1.843201,-0.614258,1.843201,-0.614258,1.843201,0.000000,0.000004
1,0.000000,-4.300800,0.000000,2.457600,0.614258,0.614399,0.000000,0.000008
1,-1.843262,-3.686401,1.843262,-0.614399,1.843262,-3.071999,0.000076,0.000008
1,-0.614258,2.457600,-1.229004,-1.228802,-3.072266,-0.614403,0.000137,0.000004
1,0.000000,6.758400,-0.614258,4.300800,0.614746,5.529602,0.000000,0.000011
1,0.000000,7.372799,0.000000,0.614399,0.614258,-3.686401,0.000000,0.000011
1,0.000000,6.758400,0.000000,-0.614399,0.000000,-1.228798,0.000000,0.000011
1,-3.686523,6.144001,3.686523,-0.614399,3.686523,0.000000,0.000153,0.000011
1,-40.550293,6.758404,36.863770,0.614403,33.177246,1.228802,0.000214,0.000015
1,-86.015625,6.758400,45.465332,-0.000004,8.601563,-0.614407,0.000305,0.000011
1,-10.444824,0.000000,-75.570801,-6.758400,-121.036133,-6.758396,0.000107,0.000000
1,-0.614258,-2.457603,-9.830566,2.457603,65.740234,9.216003,0.000137,0.000008
1,0.000000,-4.300797,-0.614258,1.843193,9.216309,-0.614410,0.000000,0.000004
1,2.457520,-6.758400,2.457520,2.457603,3.071777,0.614410,0.000061,0.000011
1,3.071777,-7.372799,0.614258,0.614399,-1.843262,-1.843204,0.000198,0.000011
1,8.601563,-1.228802,5.529785,-6.143997,4.915527,-6.758396,0.000031,0.000004
1,8.601563,0.614399,0.000000,-0.614403,-5.529785,5.529594,0.000031,0.000000
1,12.902344,3.071999,4.300781,2.457600,4.300781,3.072002,0.000046,0.000004
1,7.987305,2.457600,-4.915039,-0.614399,-9.215820,-3.071999,0.000168,0.000004
1,13.516602,2.457600,5.529297,0.000000,10.444336,0.614399,0.000092,0.000004
1,15.359863,2.457600,1.843262,0.000000,-3.686035,0.000000,0.000015,0.000004
1,13.516602,1.843201,-1.843262,-0.614399,-3.686523,-0.614399,0.000092,0.000004
1,12.902344,0.614403,-0.614258,-1.228798,1.229004,-0.614399,0.000046,0.000004
1,7.372559,0.000000,-5.529785,-0.614403,-4.915527,0.614395,0.000183,0.000000
1,10.444824,-1.228798,3.072266,1.228798,8.602051,1.843201,0.000107,0.000000
1,7.372559,-3.686401,-3.072266,2.457603,-6.144531,1.228806,0.000183,0.000008
1,9.830566,-4.300800,2.458008,0.614399,5.530273,-1.843204,0.000244,0.000008
1,-22.732910,2.457600,12.902344,-1.843201,10.444336,-2.457600,0.000290,0.000004
1,-22.118164,4.300797,-0.614746,1.843197,-13.517090,3.686398,0.000061,0.000004
1,-20.889648,2.457603,-1.228516,-1.843193,-0.613770,-3.686390,0.000214,0.000008
1,-18.432129,1.228798,-2.457520,-1.228806,-1.229004,0.614388,0.000275,0.000000
1,-11.059082,0.000000,-7.373047,-1.228798,-4.915527,0.000008,0.000031,0.000000
1,0.000000,-0.614403,-11.059082,0.614403,-3.686035,1.843201,0.000000,0.000004
1,-2.457520,-2.457603,2.457520,1.843201,13.516602,1.228798,0.000061,0.000008
1,0.614258,-1.843201,-1.843262,-0.614403,-4.300781,-2.457603,0.000137,0.000004
1,-0.614258,-2.457600,0.000000,0.614399,1.843262,1.228802,0.000137,0.000004
1,1.843262,-3.686401,1.229004,1.228802,1.229004,0.614403,0.000076,0.000008
1,-0.614258,-5.529602,-1.229004,1.843201,-2.458008,0.614399,0.000137,0.000011
1,-3.071777,-5.529602,2.457520,0.000000,3.686523,-1.843201,0.000198,0.000011
1,-14.745605,1.228802,11.673828,-4.300800,9.216309,-4.300800,0.000122,0.000004
1,-12.288086,3.071999,-2.457520,1.843197,-14.131348,6.143997,0.000183,0.000004
1,-15.359863,3.071999,3.071777,0.000000,5.529297,-1.843197,0.000015,0.000004
1,-11.673828,2.457600,-3.686035,-0.614399,-6.757813,-0.614399,0.000320,0.000004
1,-15.359863,1.843201,3.686035,-0.614399,7.372070,0.000000,0.000015,0.000004
1,-7.372559,0.000000,-7.987305,-1.843201,-11.673340,-1.228802,0.000183,0.000000
1,-9.215820,0.000000,1.843262,0.000000,9.830566,1.843201,0.000107,0.000000
1,-9.215820,-1.843201,0.000000,1.843201,-1.843262,1.843201,0.000107,0.000004
1,-3.071777,-3.071999,-6.144043,1.228798,-6.144043,-0.614403,0.000198,0.000004
1,-3.686523,-4.915199,0.614746,1.843201,6.758789,0.614403,0.000153,0.000008
1,-4.300781,-6.758400,0.614258,1.843201,-0.000488,0.000000,0.000015,0.000011
1,-5.529785,-6.144001,1.229004,-0.614399,0.614746,-2.457600,0.000229,0.000011
1,0.000000,-1.843201,-5.529785,-4.300800,-6.758789,-3.686401,0.000000,0.000004
1,1.229004,0.000000,1.229004,-1.843201,6.758789,2.457600,0.000214,0.000000
1,-1.229004,1.843201,0.000000,1.843201,-1.229004,3.686401,0.000214,0.000004
1,0.614258,1.228802,-0.614746,-0.614399,-0.614746,-2.457600,0.000137,0.000004
1,-0.614258,2.457600,0.000000,1.228798,0.614746,1.843197,0.000137,0.000004
1,0.000000,1.843201,-0.614258,-0.614399,-0.614258,-1.843197,0.000000,0.000004
1,4.915527,0.614399,4.915527,-1.228802,5.529785,-0.614403,0.000366,0.000000
1,-2.457520,0.000000,-2.458008,-0.614399,-7.373535,0.614403,0.000061,0.000000
1,4.300781,-0.614399,1.843262,0.614399,4.301270,1.228798,0.000015,0.000000
1,-1.843262,-1.843201,-2.457520,1.228802,-4.300781,0.614403,0.000076,0.000004
1,3.071777,-4.300800,1.228516,2.457600,3.686035,1.228798,0.000198,0.000008
1,0.000000,-3.686399,-3.071777,-0.614401,-4.300293,-3.072001,0.000000,0.000006
1,1.229004,0.000000,1.229004,-3.686399,4.300781,-3.071999,0.000214,0.000000
1,3.071777,3.686399,1.842773,3.686399,0.613770,7.372799,0.000198,0.000006
1,-1.229004,3.071999,-1.842773,-0.614401,-3.685547,-4.300800,0.000214,0.000004
1,-3.071777,3.071999,1.842773,0.000000,3.685547,0.614401,0.000198,0.000004
1,2.457520,3.071999,-0.614258,0.000000,-2.457031,0.000000,0.000061,0.000004
1,0.614258,1.843201,-1.843262,-1.228798,-1.229004,-1.228798,0.000137,0.000004
1,-3.071777,1.843201,2.457520,0.000000,4.300781,1.228798,0.000198,0.000004
1,3.071777,0.000000,0.000000,-1.843201,-2.457520,-1.843201,0.000198,0.000000
1,1.229004,-0.614399,-1.842773,0.614399,-1.842773,2.457600,0.000214,0.000000
1,2.457520,-3.071999,1.228516,2.457600,3.071289,1.843201,0.000061,0.000004
1,-0.614258,-3.686401,-1.843262,0.614403,-3.071777,-1.843197,0.000137,0.000008
1,1.229004,-3.686401,0.614746,0.000000,2.458008,-0.614403,0.000214,0.000008
1,1.229004,-3.686401,0.614746,0.000000,2.458008,-0.614403,0.000214,0.000008
1,0.614258,1.843201,-0.614746,-1.843201,-1.229492,-1.843201,0.000137,0.000004
1,0.000000,3.071999,-0.614258,1.228798,0.000488,3.071999,0.000000,0.000004
1,3.071777,3.686401,3.071777,0.614403,3.686035,-0.614395,0.000198,0.000008
1,0.000000,1.843201,-3.071777,-1.843201,-6.143555,-2.457603,0.000000,0.000004
1,0.000000,1.843201,0.000000,0.000000,3.071777,1.843201,0.000000,0.000004
1,1.843262,1.228802,1.843262,-0.614399,1.843262,-0.614399,0.000076,0.000004
1,1.843262,0.000000,0.000000,-1.228802,-1.843262,-0.614403,0.000076,0.000000
1,4.300781,0.000000,2.457520,0.000000,2.457520,1.228802,0.000015,0.000000
1,-1.843262,-3.071999,-2.457520,3.071999,-4.915039,3.071999,0.000076,0.000004
1,-0.614258,-4.915199,-1.229004,1.843201,1.228516,-1.228798,0.000137,0.000008
1,1.229004,-4.300800,0.614746,-0.614399,1.843750,-2.457600,0.000214,0.000008
1,1.229004,0.000000,0.000000,-4.300800,-0.614746,-3.686401,0.000214,0.000000
1,3.071777,1.843201,1.842773,1.843201,1.842773,6.144001,0.000198,0.000004
1,-1.229004,3.071999,-1.842773,1.228798,-3.685547,-0.614403,0.000214,0.000004
1,0.000000,3.071999,-1.229004,0.000000,0.613770,-1.228798,0.000000,0.000004
1,-1.843262,3.071999,1.843262,0.000000,3.072266,0.000000,0.000076,0.000004
1,0.000000,1.228802,-1.843262,-1.843197,-3.686523,-1.843197,0.000000,0.000004
1,4.300781,0.614399,4.300781,-0.614403,6.144043,1.228794,0.000015,0.000000
1,-1.843262,0.000000,-2.457520,-0.614399,-6.758301,0.000004,0.000076,0.000000
1,0.000000,-1.228802,-1.843262,1.228802,0.614258,1.843201,0.000000,0.000004
1,-1.843262,-1.843201,1.843262,0.614399,3.686523,-0.614403,0.000076,0.000004
1,0.000000,-4.915199,-1.843262,3.071999,-3.686523,2.457600,0.000000,0.000008
1,0.614258,-4.915199,0.614258,0.000000,2.457520,-3.071999,0.000137,0.000008
1,1.229004,0.000000,0.614746,-4.915199,0.000488,-4.915199,0.000214,0.000000
1,-3.686523,3.071999,2.457520,3.071999,1.842773,7.987198,0.000153,0.000004
1,1.843262,2.457600,-1.843262,-0.614399,-4.300781,-3.686398,0.000076,0.000004
1,0.000000,2.457600,-1.843262,0.000000,0.000000,0.614399,0.000000,0.000004
1,0.000000,2.457600,0.000000,0.000000,1.843262,0.000000,0.000000,0.000004
1,0.000000,1.228802,0.000000,-1.228798,0.000000,-1.228798,0.000000,0.000004
1,1.229004,1.228802,1.229004,0.000000,1.229004,1.228798,0.000214,0.000004
1,1.229004,0.000000,0.000000,-1.228802,-1.229004,-1.228802,0.000214,0.000000
1,0.000000,-0.614399,-1.229004,0.614399,-1.229004,1.843201,0.000000,0.000000
1,-1.229004,-3.071999,1.229004,2.457600,2.458008,1.843201,0.000214,0.000004
1,0.614258,-4.300800,-0.614746,1.228802,-1.843750,-1.228798,0.000137,0.000008
1,0.614258,-4.915199,0.000000,0.614399,0.614746,-0.614403,0.000137,0.000008
1,-0.614258,0.000000,0.000000,-4.915199,0.000000,-5.529598,0.000137,0.000000
1,-1.843262,2.457600,1.229004,2.457600,1.229004,7.372799,0.000076,0.000004
1,0.614258,3.071999,-1.229004,0.614399,-2.458008,-1.843201,0.000137,0.000004
1,0.000000,3.071999,-0.614258,0.000000,0.614746,-0.614399,0.000000,0.000004
1,0.614258,1.843201,0.614258,-1.228798,1.228516,-1.228798,0.000137,0.000004
1,0.614258,1.228802,0.000000,-0.614399,-0.614258,0.614399,0.000137,0.000004
1,-1.229004,1.228798,0.614746,-0.000004,0.614746,0.614395,0.000214,0.000000
1,2.457520,0.000000,1.228516,-1.228798,0.613770,-1.228794,0.000061,0.000000
1,-1.229004,-0.614399,-1.228516,0.614399,-2.457031,1.843197,0.000214,0.000000
1,-1.843262,-1.843201,0.614258,1.228802,1.842773,0.614403,0.000076,0.000004
1,0.614258,-5.529602,-1.229004,3.686401,-1.843262,2.457600,0.000137,0.000011
1,0.000000,-4.300800,-0.614258,-1.228802,0.614746,-4.915203,0.000000,0.000008
1,0.614258,0.000000,0.614258,-4.300800,1.228516,-3.071999,0.000137,0.000000
1,-0.614258,1.843201,0.000000,1.843201,-0.614258,6.144001,0.000137,0.000004
1,2.457520,2.457600,1.843262,0.614399,1.843262,-1.228802,0.000061,0.000004
1,-1.229004,3.686401,-1.228516,1.228802,-3.071777,0.614403,0.000214,0.000008
1,-2.457520,1.843201,1.228516,-1.843201,2.457031,-3.072002,0.000061,0.000004
1,1.229004,1.843201,-1.228516,0.000000,-2.457031,1.843201,0.000214,0.000004
1,-2.457520,0.614399,1.228516,-1.228802,2.457031,-1.228802,0.000061,0.000000
1,1.843262,0.000000,-0.614258,-0.614399,-1.842773,0.614403,0.000076,0.000000
1,1.229004,0.000000,-0.614258,0.000000,0.000000,0.614399,0.000214,0.000000
1,-0.614258,-2.457600,-0.614746,2.457600,-0.000488,2.457600,0.000137,0.000004
1,1.229004,-4.915199,0.614746,2.457600,1.229492,0.000000,0.000214,0.000008
1,-1.229004,-4.915199,0.000000,0.000000,-0.614746,-2.457600,0.000214,0.000008
1,-1.229004,-4.915199,0.000000,0.000000,-0.614746,-2.457600,0.000214,0.000008
1,0.000000,3.071999,-1.229004,-1.843201,-1.229004,-1.843201,0.000000,0.000004
1,1.229004,3.071999,1.229004,0.000000,2.458008,1.843201,0.000214,0.000004
1,0.000000,2.457600,-1.229004,-0.614399,-2.458008,-0.614399,0.000000,0.000004
1,0.000000,2.457600,0.000000,0.000000,1.229004,0.614399,0.000000,0.000004
1,-2.457520,0.614399,2.457520,-1.843201,2.457520,-1.843201,0.000061,0.000000
1,1.229004,0.614399,-1.228516,0.000000,-3.686035,1.843201,0.000214,0.000000
1,1.229004,0.614399,-1.228516,0.000000,-3.686035,1.843201,0.000214,0.000000
1,1.229004,0.000000,0.000000,-0.614399,1.228516,-0.614399,0.000214,0.000000
1,0.000000,-2.457600,-1.229004,2.457600,-1.229004,3.071999,0.000000,0.000004
1,-2.457520,-5.529602,2.457520,3.072002,3.686523,0.614403,0.000061,0.000011
1,0.614258,-4.915199,-1.843262,-0.614403,-4.300781,-3.686405,0.000137,0.000008
1,0.614258,-4.915199,-1.843262,-0.614403,-4.300781,-3.686405,0.000137,0.000008
1,0.614258,2.457600,0.000000,-2.457600,1.843262,-1.843197,0.000137,0.000004
1,0.614258,3.071999,0.000000,0.614399,0.000000,3.071999,0.000137,0.000004
1,0.000000,2.457600,-0.614258,-0.614399,-0.614258,-1.228798,0.000000,0.000004
1,0.000000,1.843201,0.000000,-0.614399,0.614258,0.000000,0.000000,0.000004
1,-0.614258,1.228802,0.614258,-0.614399,0.614258,0.000000,0.000137,0.000004
1,0.000000,1.843201,-0.614258,0.614399,-1.228516,1.228798,0.000000,0.000004
1,0.614258,0.000000,0.614258,-1.843201,1.228516,-2.457600,0.000137,0.000000
1,1.229004,-0.614399,0.614746,0.614399,0.000488,2.457600,0.000214,0.000000
1,0.000000,-2.457600,-1.229004,1.843201,-1.843750,1.228802,0.000000,0.000004
1,-0.614258,-5.529602,0.614258,3.072002,1.843262,1.228802,0.000137,0.000011
1,-0.614258,-3.686401,0.000000,-1.843201,-0.614258,-4.915203,0.000137,0.000008
1,1.843262,0.614399,1.229004,-3.072002,1.229004,-1.228802,0.000076,0.000000
1,-1.229004,3.071999,-0.614258,2.457600,-1.843262,5.529602,0.000214,0.000004
1,-0.614258,3.071999,-0.614746,0.000000,-0.000488,-2.457600,0.000137,0.000004
1,1.229004,1.843201,0.614746,-1.228798,1.229492,-1.228798,0.000214,0.000004
1,0.000000,2.457600,-1.229004,0.614399,-1.843750,1.843197,0.000000,0.000004
