is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,6.144043,-2.457600,3.072021,1.228798,0.000000,1.228798,0.000092,0.000057
1,1.843262,2.457600,-4.300781,0.000000,-7.372803,-1.228798,0.000076,0.000057
1,3.072021,1.843201,1.228760,-0.614399,5.529541,-0.614399,0.000046,0.000044
1,7.372803,-3.686401,4.300781,1.843201,3.072021,2.457600,0.000061,0.000088
1,1.228760,1.843201,-6.144043,-1.843201,-10.444824,-3.686401,0.000031,0.000044
1,3.686401,-0.614399,2.457642,-1.228802,8.601685,0.614399,0.000031,0.000013
1,1.228760,0.000000,-2.457642,-0.614399,-4.915283,0.614403,0.000031,0.000000
1,-3.686401,-1.228802,2.457642,1.228802,4.915283,1.843201,0.000031,0.000031
1,-3.686279,0.614399,-0.000122,-0.614403,-2.457764,-1.843204,0.000092,0.000013
1,-4.300781,-0.614399,0.614502,0.000000,0.614624,0.614403,0.000015,0.000013
1,-11.673584,0.000000,7.372803,-0.614399,6.758301,-0.614399,0.000076,0.000000
1,-9.830322,3.071999,-1.843262,3.071999,-9.216064,3.686398,0.000000,0.000071
1,-4.915283,-1.228802,-4.915039,-1.843197,-3.071777,-4.915195,0.000122,0.000031
1,-13.516846,-1.228802,8.601563,0.000000,13.516602,1.843197,0.000153,0.000031
1,-4.915283,1.228802,-8.601563,0.000000,-17.203125,0.000000,0.000122,0.000031
1,-4.300781,-1.843201,-0.614502,0.614399,7.987061,0.614399,0.000015,0.000044
1,-3.686279,0.000000,-0.614502,-1.843201,0.000000,-2.457600,0.000092,0.000000
1,0.000000,1.843201,-3.686279,1.843201,-3.071777,3.686401,0.000000,0.000044
1,-0.614502,0.614399,0.614502,-1.228802,4.300781,-3.072002,0.000107,0.000013
1,3.072021,0.000000,2.457520,-0.614399,1.843018,0.614403,0.000046,0.000000
1,0.000000,-0.614399,-3.072021,0.614399,-5.529541,1.228798,0.000000,0.000013
1,0.000000,1.843201,0.000000,1.228802,3.072021,0.614403,0.000000,0.000044
1,0.614502,-2.457600,0.614502,0.614399,0.614502,-0.614403,0.000107,0.000057
1,0.000000,-1.228802,-0.614502,-1.228798,-1.229004,-1.843197,0.000000,0.000031
1,-6.758301,0.000000,6.758301,-1.228802,7.372803,-0.000004,0.000046,0.000000
1,-3.686279,0.000000,-3.072021,0.000000,-9.830322,1.228802,0.000092,0.000000
1,0.614502,3.686398,-3.071777,3.686398,0.000244,3.686398,0.000107,0.000084
1,-7.372803,-1.228802,6.758301,-2.457596,9.830078,-6.143993,0.000061,0.000031
1,-6.144043,-1.843201,-1.228760,0.614399,-7.987061,3.071995,0.000092,0.000004
1,-7.372803,1.843201,1.228760,0.000000,2.457520,-0.614399,0.000061,0.000004
1,-7.987305,0.000000,0.614502,-1.843201,-0.614258,-1.843201,0.000168,0.000000
1,-9.216064,1.228802,1.228760,1.228802,0.614258,3.072002,0.000137,0.000004
1,-4.915283,0.000000,-4.300781,-1.228802,-5.529541,-2.457603,0.000122,0.000000
1,-3.686279,-1.843201,-1.229004,1.843201,3.071777,3.072002,0.000092,0.000004
1,-1.843262,-0.614399,-1.843018,-1.228802,-0.614014,-3.072002,0.000076,0.000000
1,0.000000,-0.614399,-1.843262,0.000000,-0.000244,1.228802,0.000000,0.000000
1,3.072021,-0.614399,3.072021,0.000000,4.915283,0.000000,0.000046,0.000000
1,5.529541,0.000000,2.457520,-0.614399,-0.614502,-0.614399,0.000015,0.000000
1,3.072021,1.843201,-2.457520,1.843201,-4.915039,2.457600,0.000046,0.000004
1,0.614502,-0.614399,-2.457520,-1.228802,0.000000,-3.072002,0.000107,0.000000
1,6.758301,1.843201,6.143799,1.228802,8.601318,2.457603,0.000046,0.000004
1,4.300781,0.000000,-2.457520,-1.843201,-8.601318,-3.072002,0.000015,0.000000
1,1.843262,0.000000,-2.457520,0.000000,0.000000,1.843201,0.000076,0.000000
1,3.072021,-3.071999,1.228760,3.071999,3.686279,3.071999,0.000046,0.000004
1,0.614502,0.614399,-2.457520,-2.457600,-3.686279,-5.529598,0.000107,0.000000
1,-1.843262,1.228802,1.228760,0.614403,3.686279,3.072002,0.000076,0.000004
1,-4.300781,1.228802,2.457520,0.000000,1.228760,-0.614403,0.000015,0.000004
1,-4.300781,-3.686401,0.000000,2.457600,-2.457520,2.457600,0.000015,0.000008
1,-4.300781,3.071999,0.000000,-0.614403,0.000000,-3.072002,0.000015,0.000004
