is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-0.614380,0.000000,0.614380,-0.614400,1.228760,-0.614400,0.000031,0.000000
1,1.843201,-2.457600,1.228821,2.457600,0.614441,3.072000,0.000153,0.000004
1,7.987213,-5.529599,6.144012,3.072000,4.915192,0.614400,0.000671,0.000009
1,2.457611,-1.228800,-5.529602,-4.300799,-11.673615,-7.372799,0.000214,0.000002
1,1.228821,-0.614400,-1.228790,-0.614400,4.300812,3.686399,0.000122,0.000001
1,9.216064,-2.457600,7.987244,1.843200,9.216034,2.457600,0.000824,0.000005
1,3.071991,-1.228800,-6.144073,-1.228800,-14.131317,-3.072001,0.000244,0.000002
1,0.000000,0.614400,-3.071991,-0.614400,3.072083,0.614400,0.000000,0.000001
1,-1.228821,0.000000,1.228821,-0.614400,4.300812,0.000000,0.000122,0.000000
1,-3.072052,0.614400,1.843231,0.614400,0.614410,1.228800,0.000305,0.000001
1,-4.300812,0.000000,1.228760,-0.614400,-0.614471,-1.228800,0.000366,0.000000
1,-4.300842,0.000000,0.000031,0.000000,-1.228729,0.614400,0.000397,0.000000
1,0.000000,-0.614400,-4.300842,0.614400,-4.300873,0.614400,0.000000,0.000001
1,0.000000,-0.614400,-4.300842,0.614400,-4.300873,0.614400,0.000000,0.000001
1,0.000000,-0.614400,-4.300842,0.614400,-4.300873,0.614400,0.000000,0.000001
1,-1.843231,1.843200,1.843231,1.228800,6.144073,0.614400,0.000183,0.000003
1,-2.457642,2.457600,0.614410,0.614399,-1.228821,-0.614401,0.000244,0.000004
1,-3.686462,2.457600,1.228821,0.000000,0.614410,-0.614399,0.000366,0.000004
1,-5.529602,4.915199,1.843140,2.457599,0.614319,2.457599,0.000458,0.000008
1,-12.288025,4.915201,6.758423,0.000002,4.915283,-2.457597,0.001038,0.000010
1,-14.131165,3.072002,1.843140,-1.843199,-4.915283,-1.843201,0.001129,0.000008
1,-4.915161,1.228802,-9.216003,-1.843201,-11.059143,-0.000002,0.000366,0.000004
1,-1.228760,4.300804,-3.686401,3.072002,5.529602,4.915203,0.000061,0.000011
1,0.614441,5.529600,-0.614319,1.228796,3.072083,-1.843206,0.000092,0.000010
1,-1.228760,2.457596,0.614319,-3.072004,1.228638,-4.300800,0.000061,0.000000
1,-0.614380,0.000000,-0.614380,-2.457596,-1.228699,0.614408,0.000031,0.000000
1,-0.614380,0.000000,-0.614380,-2.457596,-1.228699,0.614408,0.000031,0.000000
1,-0.614380,0.000000,-0.614380,-2.457596,-1.228699,0.614408,0.000031,0.000000
1,1.843201,0.000000,1.228821,0.000000,1.843201,2.457596,0.000153,0.000000
1,1.843140,0.000000,-0.000061,0.000000,-1.228882,0.000000,0.000092,0.000000
1,7.535278,0.451862,5.692139,0.451862,5.692200,0.451862,0.163086,0.162537
1,0.614380,1.228802,-6.920898,0.776939,-12.613037,0.325077,0.000031,0.000004
1,0.000000,1.228802,-0.614380,0.000000,6.306519,-0.776939,0.000000,0.000004
1,0.000000,0.614399,0.000000,-0.614403,0.614380,-0.614403,0.000000,0.000000
1,0.000000,0.614399,0.000000,0.000000,0.000000,0.614403,0.000000,0.000000
1,0.614380,-0.614399,0.614380,0.000000,0.614380,0.000000,0.000031,0.000000
1,0.614380,-0.614399,0.614380,0.000000,0.614380,0.000000,0.000031,0.000000
1,0.614380,-0.614399,0.614380,0.000000,0.614380,0.000000,0.000031,0.000000
1,0.614380,-0.614399,0.614380,0.000000,0.614380,0.000000,0.000031,0.000000
1,0.000000,1.228802,-0.614380,0.614403,-1.228760,0.614403,0.000000,0.000004
1,0.000000,1.843201,0.000000,0.614399,0.614380,-0.000004,0.000000,0.000004
1,3.686401,1.843201,3.686401,0.000000,3.686401,-0.614399,0.000305,0.000004
1,5.529602,0.614399,1.843201,-1.228802,-1.843201,-1.228802,0.000458,0.000000
1,4.300781,1.228802,-1.228821,0.614403,-3.072021,1.843204,0.000336,0.000004
1,4.915222,1.228802,0.614441,0.000000,1.843262,-0.614403,0.000427,0.000004
1,5.529602,1.228802,0.614380,0.000000,-0.000061,0.000000,0.000458,0.000004
1,3.071991,0.000000,-2.457611,-1.228802,-3.071991,-1.228802,0.000244,0.000000
1,4.300812,0.000000,1.228821,0.000000,3.686432,1.228802,0.000366,0.000000
1,5.529602,-0.614399,1.228790,0.614399,-0.000031,0.614399,0.000458,0.000000
1,4.300812,1.228802,-1.228790,0.614403,-2.457581,0.000004,0.000366,0.000004
1,6.758392,2.457600,2.457581,1.228798,3.686371,0.614395,0.000549,0.000004
1,20.275208,2.457600,13.516815,0.000000,11.059235,-1.228798,0.001678,0.000004
1,33.177612,1.843201,12.902405,-0.614399,-0.614410,-0.614399,0.002747,0.000004
1,46.694397,1.843201,13.516785,0.000000,0.614380,0.614399,0.003845,0.000004
1,53.452789,1.228802,6.758392,-0.614399,-6.758392,-0.614399,0.004395,0.000004
1,39.936005,0.614399,-13.516785,-0.614403,-20.275177,-0.000004,0.003296,0.000000
1,-24.575989,-0.614399,-15.360016,0.000000,-1.843231,0.614403,0.002014,0.000000
1,-11.673615,0.000000,-12.902374,-0.614399,2.457642,-0.614399,0.000977,0.000000
1,7.987213,0.000000,-3.686401,0.000000,9.215973,0.614399,0.000671,0.000000
1,1.228790,-0.614399,-6.758423,0.614399,-3.072021,0.614399,0.000092,0.000000
1,0.000000,-1.228802,-1.228790,0.614403,5.529633,0.000004,0.000000,0.000004
1,-4.915192,-0.614399,4.915192,-0.614403,6.143982,-1.228806,0.000397,0.000000
1,-3.686401,0.000000,-1.228790,-0.614399,-6.143982,0.000004,0.000305,0.000000
