is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,1.843750,3.686401,-6.757813,-4.915207,-9.216797,-4.915211,0.001953,0.000008
1,-2.458984,-1.228798,0.615234,-2.457603,7.373047,2.457603,0.001953,0.000000
1,2.458984,-7.372807,0.000000,6.144009,-0.615234,8.601612,0.001953,0.000019
1,17.201172,-10.444801,14.742188,3.071995,14.742188,-3.072014,0.025391,0.000019
1,68.269531,-1.843197,51.068359,-8.601604,36.326172,-11.673599,0.021484,0.000000
1,68.197266,0.000000,-0.072266,-1.843197,-51.140625,6.758408,0.093750,0.000000
1,32.560547,2.457600,-35.636719,2.457600,-35.564453,4.300797,0.046875,0.000004
1,47.306641,1.228798,14.746094,-1.228802,50.382813,-3.686401,0.066406,0.000000
1,7.373047,-1.843197,-39.933594,0.614399,-54.679688,1.843201,0.009766,0.000000
1,9.830078,-2.457596,2.457031,0.614399,42.390625,0.000000,0.013672,0.000000
1,2.458984,-1.228798,-7.371094,-1.228798,-9.828125,-1.843197,0.001953,0.000000
1,1.228516,0.000000,-1.230469,-1.228798,6.140625,0.000000,0.001953,0.000000
1,54.066406,16.588802,52.837891,16.588802,54.068359,17.817600,0.074219,0.000031
1,-43.687500,-23.347198,-10.378906,6.758396,-63.216797,-9.830406,0.005859,0.000038
1,14.132813,-2.457603,-29.554688,-20.889595,-19.175781,-27.647991,0.017578,0.000008
1,31.333984,6.144001,17.201172,3.686398,46.755859,24.575993,0.042969,0.000011
1,11.675781,9.216003,-19.658203,3.072002,-36.859375,-0.614395,0.013672,0.000019
1,1.230469,4.915203,-10.445313,-4.300800,9.212891,-7.372803,0.000000,0.000011
1,-11.673828,7.987206,10.443359,3.072002,20.888672,7.372803,0.015625,0.000019
1,-19.046875,7.987198,7.373047,-0.000008,-3.070313,-3.072010,0.025391,0.000011
1,-23.347656,4.915199,4.300781,-3.071999,-3.072266,-3.071991,0.031250,0.000008
1,-27.576172,2.457611,4.228516,-2.457588,-0.072266,0.614410,0.109375,0.000015
1,-22.732422,-0.614403,-4.843750,-1.843208,-9.072266,0.614380,0.031250,0.000004
1,-30.716797,-12.902393,7.984375,12.287991,12.828125,14.131199,0.044922,0.000015
1,-14.132813,0.614403,-16.583984,-12.287991,-24.568359,-24.575981,0.017578,0.000004
1,-12.902344,-12.287998,-1.230469,11.673595,15.353516,23.961586,0.017578,0.000019
1,-20.271484,-20.889616,7.369141,8.601618,8.599609,-3.071978,0.031250,0.000051
1,-17.203125,-13.516801,-3.068359,-7.372815,-10.437500,-15.974433,0.023438,0.000024
1,-2.458984,-0.614400,-14.744141,-12.902401,-11.675781,-5.529586,0.001953,0.000001
1,0.000000,0.614400,-2.458984,0.000000,12.285156,12.902401,0.000000,0.000001
1,-1.230469,10.444800,1.230469,9.830400,3.689453,9.830400,0.000000,0.000018
1,0.000000,9.216003,-1.230469,-1.228797,-2.460938,-11.059197,0.000000,0.000019
1,0.615234,12.288006,0.615234,3.072002,1.845703,4.300799,0.000000,0.000027
1,0.615234,11.059204,0.000000,-1.228802,-0.615234,-4.300804,0.000000,0.000023
1,-2.458984,11.059200,1.843750,-0.000004,1.843750,1.228798,0.001953,0.000019
1,-7.375000,7.987206,4.916016,-3.071995,3.072266,-3.071991,0.007813,0.000019
1,-27.033203,-6.143997,19.658203,-1.843208,14.742188,1.228786,0.037109,0.000008
1,2.457031,0.000000,-24.576172,-6.143997,-44.234375,-4.300789,0.003906,0.000000
1,-52.296875,0.000008,49.839844,0.000008,74.416016,6.144005,0.001953,0.000008
1,-38.093750,-17.817596,-14.203125,17.817589,-64.042969,17.817581,0.050781,0.000027
1,-12.900391,-7.987202,-25.193359,-9.830395,-10.990234,-27.647984,0.019531,0.000015
1,-11.673828,-7.372803,-1.226563,-0.614399,23.966797,9.215996,0.015625,0.000015
1,-7.988281,0.000000,-3.685547,-7.372803,-2.458984,-6.758404,0.009766,0.000000
1,-7.986328,3.072002,-0.001953,3.072002,3.683594,10.444805,0.011719,0.000008
1,-13.515625,8.601604,5.529297,5.529602,5.531250,2.457600,0.019531,0.000019
1,-14.130859,8.601608,0.615234,0.000004,-4.914063,-5.529598,0.019531,0.000023
1,-17.816406,10.444798,3.685547,1.843189,3.070313,1.843185,0.025391,0.000015
1,-14.673828,3.072006,-3.142578,-7.372791,-6.828125,-9.215981,0.091797,0.000011
1,-11.673828,0.000000,-3.000000,-3.072006,0.142578,4.300785,0.015625,0.000000
1,-9.216797,-3.686401,-2.457031,3.686401,0.542969,6.758408,0.011719,0.000008
