is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-53.452789,3.686401,25.190399,-2.457596,12.288025,-1.228794,0.139801,0.000008
1,-22.732788,1.228798,-30.720001,-2.457603,-55.910400,-0.000008,0.059448,0.000000
1,-10.444824,-1.228798,-12.287964,0.000000,18.432037,2.457603,0.027344,0.000000
1,-6.143982,-3.686401,-4.300842,2.457603,7.987122,2.457603,0.016052,0.000008
1,-5.529602,-6.758400,-0.614380,3.071999,3.686462,0.614395,0.014465,0.000011
1,-4.915222,-7.987202,-0.614380,1.228802,0.000000,-1.843197,0.012878,0.000015
1,-7.987183,-4.300800,3.071960,-3.686401,3.686340,-4.915203,0.020874,0.000008
1,0.000000,-1.843201,-7.987183,-2.457600,-11.059143,1.228802,0.000000,0.000004
1,0.000000,-1.228802,0.000000,-0.614399,7.987183,1.843201,0.000000,0.000004
1,-3.686401,-0.614399,3.686401,-0.614403,3.686401,-0.000004,0.009644,0.000000
1,-3.686401,-0.614399,0.000000,0.000000,-3.686401,0.614403,0.009644,0.000000
1,3.686401,-1.228802,0.000000,0.614403,0.000000,0.614403,0.009644,0.000004
1,-5.529602,-1.843201,1.843201,0.614399,1.843201,-0.000004,0.014465,0.000004
1,3.072021,-2.457600,-2.457581,0.614399,-4.300781,0.000000,0.008057,0.000004
1,-3.072021,-3.071999,0.000000,0.614399,2.457581,0.000000,0.008057,0.000004
1,-3.072021,-3.686401,0.000000,0.614403,0.000000,0.000004,0.008057,0.000008
1,3.072021,-4.915199,0.000000,1.228798,0.000000,0.614395,0.008057,0.000008
1,-1.843201,-4.915199,-1.228821,0.000000,-1.228821,-1.228798,0.004822,0.000008
1,0.614380,1.843201,-1.228821,-3.071999,0.000000,-3.071999,0.001587,0.000004
1,-2.457581,4.915199,1.843201,3.071999,3.072021,6.143997,0.006409,0.000008
1,1.228821,5.529602,-1.228760,0.614403,-3.071960,-2.457596,0.003235,0.000011
1,-3.686401,6.144001,2.457581,0.614399,3.686340,-0.000004,0.009644,0.000011
1,1.228821,6.144001,-2.457581,0.000000,-4.915161,-0.614399,0.003235,0.000011
1,-0.614380,5.529602,-0.614441,-0.614399,1.843140,-0.614399,0.001587,0.000011
1,3.072021,5.529602,2.457642,0.000000,3.072083,0.614399,0.008057,0.000011
1,-0.614380,6.144001,-2.457642,0.614399,-4.915283,0.614399,0.001587,0.000011
1,3.686401,5.529602,3.072021,-0.614399,5.529663,-1.228798,0.009644,0.000011
1,14.745605,6.143997,11.059204,0.614395,7.987183,1.228794,0.038574,0.000008
1,164.044800,1.843201,149.299194,-4.300797,138.239990,-4.915192,0.183716,0.000004
1,0.000000,-1.228798,-164.044800,-0.614403,-313.343994,3.686394,0.000000,0.000000
1,9.830414,-2.457603,9.830414,1.228806,173.875214,1.843208,0.025726,0.000008
1,4.915192,-2.457603,-4.915222,0.000000,-14.745636,-1.228806,0.006683,0.000008
1,3.686401,-3.071999,-1.228790,0.614395,3.686432,0.614395,0.005005,0.000004
1,2.457611,-2.457603,-1.228790,-0.614395,0.000000,-1.228790,0.003326,0.000008
1,2.457611,-2.457603,0.000000,0.000000,1.228790,0.614395,0.003326,0.000008
1,3.071991,-2.457600,0.614380,-0.000004,0.614380,-0.000004,0.004181,0.000004
1,1.228790,-3.071999,-1.843201,0.614399,-2.457581,0.614403,0.001678,0.000004
1,1.843201,-1.228802,0.614410,-1.843197,2.457611,-2.457596,0.002502,0.000004
1,3.071991,-1.843201,1.228790,0.614399,0.614380,2.457596,0.004181,0.000004
1,-0.614410,-2.457600,-2.457581,0.614399,-3.686371,0.000000,0.000824,0.000004
1,3.071991,-4.915199,2.457581,2.457600,4.915161,1.843201,0.004181,0.000008
1,-1.843201,-4.300800,-1.228790,-0.614399,-3.686371,-3.071999,0.002502,0.000008
1,-5.529602,-0.614399,3.686401,-3.686401,4.915192,-3.072002,0.007507,0.000000
1,-3.071991,1.228802,-2.457611,0.614403,-6.144012,4.300804,0.004181,0.000004
1,-2.457611,1.843201,-0.614380,0.614399,1.843231,-0.000004,0.003326,0.000004
1,-4.300812,1.228802,1.843201,-0.614399,2.457581,-1.228798,0.005829,0.000004
1,-1.228790,1.843201,-3.072021,0.614399,-4.915222,1.228798,0.001678,0.000004
1,-1.228790,1.228802,0.000000,-0.614399,3.072021,-1.228798,0.001678,0.000004
1,-3.686401,0.614399,2.457611,-0.614403,2.457611,-0.000004,0.005005,0.000000
1,-9.830414,0.000000,6.144012,-0.614399,3.686401,0.000004,0.013336,0.000000
1,-1.228790,-0.614399,-8.601624,0.614399,-14.745636,1.228798,0.001678,0.000000
1,-3.686401,-0.614399,2.457611,0.000000,11.059235,-0.614399,0.005005,0.000000
1,-7.372803,-2.457600,3.686401,1.843201,1.228790,1.843201,0.010010,0.000004
1,-4.300812,-1.843201,-3.071991,-0.614399,-6.758392,-2.457600,0.005829,0.000004
1,-15.974396,3.686401,11.673584,1.843201,14.745575,2.457600,0.021698,0.000008
1,-6.144012,4.300800,-9.830383,0.614399,-21.503967,-1.228802,0.008331,0.000008
1,-16.588806,4.915199,10.444794,0.614399,20.275177,0.000000,0.022522,0.000008
1,-15.974396,3.686401,-0.614410,-1.228798,-11.059204,-1.843197,0.021698,0.000008
1,-14.131195,2.457600,-1.843201,-1.228802,-1.228790,-0.000004,0.019196,0.000004
1,-14.745605,1.843201,0.614410,-0.614399,2.457611,0.614403,0.020020,0.000004
1,-13.516815,0.000000,-1.228790,-1.843201,-1.843201,-1.228802,0.018341,0.000000
1,-11.673615,-1.228798,-1.843201,1.228798,-0.614410,3.071999,0.015839,0.000000
1,-8.601593,-2.457600,-3.072021,1.228802,-1.228821,0.000004,0.011688,0.000004
1,-12.902405,-4.300800,4.300812,1.843201,7.372833,0.614399,0.017517,0.000008
