is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-1.842773,1.228802,1.228516,0.000000,4.915039,0.000000,0.000000,0.000000
1,-1.228516,1.228802,-0.614258,0.000000,-1.842773,0.000000,0.000000,0.000000
1,-10.444336,1.228802,9.215820,0.000000,9.830078,0.000000,0.001953,0.000000
1,-3.686523,0.614399,-6.757813,-0.614403,-15.973633,-0.614403,0.000977,0.000000
1,0.000000,0.614399,-3.686523,0.000000,3.071289,0.614403,0.000000,0.000000
1,1.842773,0.614399,1.842773,0.000000,5.529297,0.000000,0.000000,0.000000
1,9.215820,2.457600,7.373047,1.843201,5.530273,1.843201,0.001953,0.000004
1,6.143555,3.071999,-3.072266,0.614399,-10.445313,-1.228802,0.000977,0.000004
1,12.288086,3.071999,6.144531,0.000000,9.216797,-0.614399,0.002930,0.000004
1,47.308594,3.071999,35.020508,0.000000,28.875977,0.000000,0.010742,0.000004
1,38.707031,2.457600,-8.601563,-0.614399,-43.622070,-0.614399,0.008789,0.000004
1,20.275391,1.843201,-18.431641,-0.614399,-9.830078,0.000000,0.004883,0.000004
1,19.046875,1.228802,-1.228516,-0.614399,17.203125,0.000000,0.004883,0.000004
1,4.300781,0.614399,-14.746094,-0.614403,-13.517578,-0.000004,0.000977,0.000000
1,-4.300781,0.614399,0.000000,0.000000,14.746094,0.614403,0.000977,0.000000
1,3.072266,0.000000,-1.228516,-0.614399,-1.228516,-0.614399,0.000977,0.000000
1,1.228516,0.000000,-1.843750,0.000000,-0.615234,0.614399,0.000000,0.000000
1,3.686523,-0.614399,2.458008,0.614399,4.301758,0.614399,0.000977,0.000000
1,22.732422,0.614399,19.045898,0.000000,16.587891,-0.614399,0.004883,0.000000
1,7.987305,1.228802,-14.745117,0.614403,-33.791016,0.614403,0.001953,0.000004
1,20.275391,1.228798,12.288086,-0.000004,27.033203,-0.614407,0.004883,0.000000
1,29.491211,1.228798,9.215820,0.000000,-3.072266,0.000004,0.006836,0.000000
1,22.732422,1.228798,-6.758789,0.000000,-15.974609,0.000000,0.004883,0.000000
1,21.503906,0.614403,-1.228516,-0.614395,5.530273,-0.614395,0.004883,0.000004
1,23.961914,0.000000,2.458008,-0.614403,3.686523,-0.000008,0.005859,0.000000
1,9.215820,0.000000,-14.746094,0.000000,-17.204102,0.614403,0.001953,0.000000
1,6.143555,-0.614403,-3.072266,0.614403,11.673828,0.614403,0.000977,0.000004
1,9.215820,-1.228798,3.072266,0.614395,6.144531,-0.000008,0.001953,0.000000
1,-0.614258,-1.843201,-8.601563,0.614403,-11.673828,0.000008,0.000000,0.000004
1,3.686523,-2.457600,3.072266,0.614399,11.673828,-0.000004,0.000977,0.000004
1,22.732422,-0.614399,19.045898,-1.843201,15.973633,-2.457600,0.004883,0.000000
1,4.915039,0.000000,-17.817383,-0.614399,-36.863281,1.228802,0.000977,0.000000
1,3.686523,0.000000,-1.228516,0.000000,16.588867,0.614399,0.000977,0.000000
1,9.215820,0.614399,5.529297,0.614399,6.757813,0.614399,0.001953,0.000000
1,0.614258,0.614399,-8.601563,0.000000,-14.130859,-0.614399,0.000000,0.000000
1,6.758789,0.614403,6.144531,0.000004,14.746094,0.000004,0.001953,0.000004
1,15.974609,0.614403,9.215820,0.000000,3.071289,-0.000004,0.003906,0.000004
1,6.758789,0.614403,-9.215820,0.000000,-18.431641,0.000000,0.001953,0.000004
1,7.987305,0.614403,1.228516,0.000000,10.444336,0.000000,0.001953,0.000004
1,-3.072266,0.000000,-4.915039,-0.614403,-6.143555,-0.614403,0.000977,0.000000
1,4.915039,0.000000,1.842773,0.000000,6.757813,0.614403,0.000977,0.000000
1,4.300781,0.000000,-0.614258,0.000000,-2.457031,0.000000,0.000977,0.000000
1,10.444336,0.000000,6.143555,0.000000,6.757813,0.000000,0.001953,0.000000
1,10.444336,0.000000,6.143555,0.000000,6.757813,0.000000,0.001953,0.000000
1,1.842773,0.000000,-8.601563,0.000000,-14.745117,0.000000,0.000000,0.000000
