is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,4.915222,1.843200,1.228821,0.000000,1.228821,0.000000,0.000061,0.000003
1,5.529602,1.843201,0.614380,0.000001,-0.614441,0.000001,0.000092,0.000004
1,6.143982,1.843201,0.614380,0.000000,0.000000,-0.000001,0.000122,0.000004
1,7.987183,1.843201,1.843201,0.000000,1.228821,0.000000,0.000153,0.000004
1,8.601624,1.228800,0.614441,-0.614401,-1.228760,-0.614401,0.000122,0.000002
1,10.444824,1.228800,1.843201,0.000000,1.228760,0.614401,0.000153,0.000002
1,13.516785,1.843201,3.071960,0.614401,1.228760,0.614401,0.000244,0.000004
1,8.601624,1.843201,-4.915161,0.000000,-7.987122,-0.614401,0.000122,0.000004
1,7.372803,1.843201,-1.228821,0.000000,3.686340,0.000000,0.000122,0.000004
1,6.758423,1.843201,-0.614380,0.000000,0.614441,0.000000,0.000092,0.000004
1,6.758423,1.228800,0.000000,-0.614401,0.614380,-0.614401,0.000092,0.000002
1,5.529602,1.228800,-1.228821,0.000000,-1.228821,0.614401,0.000092,0.000002
1,6.758423,1.228802,1.228821,0.000002,2.457642,0.000002,0.000092,0.000004
1,5.529602,0.614399,-1.228821,-0.614403,-2.457642,-0.614405,0.000092,0.000000
1,4.300781,-0.614399,-1.228821,0.000000,0.000000,0.614403,0.000092,0.000000
1,5.529602,0.000000,1.228821,-0.614399,2.457642,-0.614399,0.000092,0.000000
1,3.072021,0.000000,-2.457581,0.000000,-3.686401,0.614399,0.000031,0.000000
1,4.300781,0.000000,1.228760,0.000000,3.686340,0.000000,0.000092,0.000000
1,9.216003,0.614399,4.915222,0.614399,3.686462,0.614399,0.000153,0.000000
1,7.987183,1.843201,-1.228821,1.228802,-6.144043,0.614403,0.000153,0.000004
1,9.830383,1.843201,1.843201,0.000000,3.072021,-1.228802,0.000183,0.000004
1,12.902405,1.843201,3.072021,0.000000,1.228821,0.000000,0.000214,0.000004
1,14.745605,1.843201,1.843201,0.000000,-1.228821,0.000000,0.000244,0.000004
1,15.974426,1.843201,1.228821,0.000000,-0.614380,0.000000,0.000244,0.000004
1,14.745544,1.228802,-1.228882,-0.614399,-2.457703,-0.614399,0.000305,0.000004
1,12.902344,1.228802,-1.843201,0.000000,-0.614319,0.614399,0.000275,0.000004
1,9.830444,-0.614399,-3.071899,-0.614403,-1.228699,-0.614403,0.000122,0.000000
1,7.987183,0.000000,-1.843262,-0.614399,1.228638,0.000004,0.000153,0.000000
1,6.758423,-0.614399,-1.228760,0.614399,0.614502,1.228798,0.000092,0.000000
1,5.529541,-0.614399,-1.228882,0.000000,-0.000122,-0.614399,0.000153,0.000000
1,8.601563,0.000000,3.072021,-0.614399,4.300903,-0.614399,0.000183,0.000000
1,6.758423,-0.614399,-1.843140,0.614399,-4.915161,1.228798,0.000092,0.000000
1,7.372803,-0.614399,0.614380,0.000000,2.457520,-0.614399,0.000122,0.000000
1,7.372803,1.228802,0.000000,0.614403,-0.614380,0.614403,0.000122,0.000004
1,9.830444,0.614399,2.457642,-0.614403,2.457642,-1.228806,0.000122,0.000000
1,9.215942,1.228802,-0.614502,0.614403,-3.072144,1.228806,0.000214,0.000004
1,9.830444,0.614399,0.614502,-0.614403,1.229004,-1.228806,0.000122,0.000000
1,9.830444,0.614399,0.000000,0.000000,-0.614502,0.614403,0.000122,0.000000
1,12.287964,0.614399,2.457520,0.000000,2.457520,0.000000,0.000244,0.000000
1,7.372803,-0.614399,-4.915161,0.000000,-7.372681,0.000000,0.000122,0.000000
1,8.601563,0.000000,1.228760,-0.614399,6.143921,-0.614399,0.000183,0.000000
1,8.601563,0.000000,0.000000,0.000000,-1.228760,0.614399,0.000183,0.000000
1,12.287964,-0.614399,3.686401,0.614399,3.686401,0.614399,0.000244,0.000000
1,11.059204,1.228802,-1.228760,0.614403,-4.915161,0.000004,0.000183,0.000004
1,12.287964,1.228802,1.228760,0.000000,2.457520,-0.614403,0.000244,0.000004
1,13.516846,1.228802,1.228882,0.000000,0.000122,0.000000,0.000183,0.000004
1,15.974365,1.228802,2.457520,0.000000,1.228638,0.000000,0.000305,0.000004
1,9.830444,1.228802,-6.143921,0.000000,-8.601440,0.000000,0.000122,0.000004
1,11.673584,0.614399,1.843140,-0.614403,7.987061,-0.614403,0.000214,0.000000
1,10.444824,-0.614399,-1.228760,0.000000,-3.071899,0.614403,0.000153,0.000000
1,9.215942,0.000000,-1.228882,-0.614399,-0.000122,-0.614399,0.000214,0.000000
1,7.987183,0.000000,-1.228760,0.000000,0.000122,0.614399,0.000153,0.000000
1,7.372803,0.000000,-0.614380,0.000000,0.614380,0.000000,0.000122,0.000000
1,6.758423,-0.614399,-0.614380,0.614399,0.000000,0.614399,0.000092,0.000000
1,11.059204,0.000000,4.300781,-0.614399,4.915161,-1.228798,0.000183,0.000000
1,8.601563,-0.614399,-2.457642,0.614399,-6.758423,1.228798,0.000183,0.000000
1,9.215942,1.228802,0.614380,0.614403,3.072021,0.000004,0.000214,0.000004
1,10.444824,0.614399,1.228882,-0.614403,0.614502,-1.228806,0.000153,0.000000
1,11.059204,0.614399,0.614380,0.000000,-0.614502,0.614403,0.000183,0.000000
1,11.673584,0.614399,0.614380,0.000000,0.000000,0.000000,0.000214,0.000000
1,11.059204,-0.614399,-0.614380,0.000000,-1.228760,0.000000,0.000183,0.000000
1,10.444824,0.000000,-0.614380,-0.614399,0.000000,-0.614399,0.000153,0.000000
1,9.830444,0.000000,-0.614380,0.000000,0.000000,0.614399,0.000122,0.000000
1,9.215942,0.000000,-0.614502,0.000000,-0.000122,0.000000,0.000214,0.000000
1,7.987183,0.000000,-1.228760,0.000000,-0.614258,0.000000,0.000153,0.000000
1,6.758423,-0.614399,-1.228760,0.614399,0.000000,0.614399,0.000092,0.000000
1,11.673584,0.000000,4.915161,-0.614399,6.143921,-1.228798,0.000214,0.000000
1,9.830444,0.000000,-1.843140,0.000000,-6.758301,0.614399,0.000122,0.000000
1,10.444824,0.614399,0.614380,0.614399,2.457520,0.614399,0.000153,0.000000
1,12.287964,0.614399,1.843140,0.000000,1.228760,-0.614399,0.000244,0.000000
1,12.902344,1.228802,0.614380,0.614403,-1.228760,0.614403,0.000275,0.000004
1,13.516846,0.614399,0.614502,-0.614403,0.000122,-1.228806,0.000183,0.000000
