is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,5.926147,6.400242,3.081604,-0.711140,7.111389,0.237045,0.025574,0.000380
1,9.007751,5.689106,3.081604,-0.711136,0.000000,0.000004,0.038879,0.000340
1,17.778442,4.503876,8.770691,-1.185230,5.689087,-0.474094,0.076721,0.000269
1,24.889832,3.318642,7.111389,-1.185234,-1.659302,-0.000004,0.107422,0.000195
1,27.971436,0.948181,3.081604,-2.370461,-4.029785,-1.185226,0.115295,0.000053
1,14.933899,-0.948181,-13.037537,0.000000,-16.119141,2.370461,0.064453,0.000053
1,29.867798,1.659325,14.933899,0.711143,27.971436,0.711143,0.107117,0.000101
1,21.808228,1.659325,-8.059570,0.000000,-22.993469,-0.711143,0.094116,0.000101
1,24.889832,0.948181,3.081604,-0.711143,11.141174,-0.711143,0.107422,0.000053
1,12.800476,0.948181,-12.089355,0.000000,-15.170959,0.711143,0.055237,0.000053
1,15.882080,-0.948181,3.081604,0.000000,15.170959,0.000000,0.068542,0.000053
1,3.792725,-0.948181,-12.089355,0.000000,-15.170959,0.000000,0.016357,0.000053
1,6.874329,-0.948181,3.081604,0.000000,15.170959,0.000000,0.029663,0.000053
1,10.192993,-0.948181,3.318665,0.000000,0.237061,0.000000,0.044006,0.000053
1,-1.896362,-0.948181,-8.296631,0.000000,-11.615295,0.000000,0.008179,0.000053
1,4.977966,-1.185226,3.081604,0.237045,11.378235,0.237045,0.021484,0.000067
1,-8.059570,-1.896370,3.081604,0.711143,0.000000,0.474098,0.034790,0.000114
1,3.792725,-1.422279,-4.266846,-0.474091,-7.348450,-1.185234,0.016357,0.000088
1,6.874329,4.503876,3.081604,3.081596,7.348450,3.555687,0.029663,0.000269
1,10.904114,5.215012,4.029785,0.711136,0.948181,-2.370461,0.047058,0.000309
1,112.833923,3.792740,101.929810,-1.422272,97.900024,-2.133408,0.014954,0.000229
1,18.963684,1.185226,-93.870239,-2.607513,-195.800049,-1.185242,0.081848,0.000067
1,2.844543,-0.948181,-16.119141,-0.237045,77.751099,2.370468,0.012268,0.000053
1,5.926147,-0.948181,3.081604,0.000000,19.200745,0.237045,0.025574,0.000053
1,1.896362,-1.185226,-4.029785,0.237045,-7.111389,0.237045,0.008179,0.000067
1,4.977966,-1.896370,3.081604,0.711143,7.111389,0.474098,0.021484,0.000114
1,8.059570,-2.844551,3.081604,0.948181,0.000000,0.237038,0.034790,0.000168
1,-0.948181,-4.029785,-7.111389,1.185234,-10.192993,0.237053,0.004089,0.000242
1,4.029785,-6.163197,3.081604,2.133411,10.192993,0.948177,0.017395,0.000366
1,0.948181,-5.926151,-3.081604,-0.237045,-6.163208,-2.370457,0.004089,0.000353
1,4.029785,-3.318645,3.081604,-2.607506,6.163208,-2.370461,0.017395,0.000198
