is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
1,-2.014496,0.948231,-6.005493,-0.610264,-6.234070,0.277782,0.171265,0.280571
1,-8.271790,0.147812,6.257294,-0.800419,12.262787,-0.190155,0.284454,0.147812
1,1.289520,2.286282,-6.982269,2.138470,-13.239563,2.938889,0.060699,0.171322
1,-8.495789,1.340546,7.206268,-0.945736,14.188538,-3.084206,0.105957,0.111744
1,3.849762,0.232147,-4.646027,-1.108398,-11.852295,-0.162663,0.163300,0.232147
1,-4.612823,1.892704,0.763062,1.660557,5.409088,2.768955,0.302460,0.049501
1,-17.404633,6.065994,12.791809,4.173290,12.028748,2.512733,0.201141,0.078014
1,-48.943665,6.453949,31.539032,0.387955,18.747223,-3.785336,0.209167,0.304461
1,-51.203217,2.315994,2.259552,-4.137955,-29.279480,-4.525909,0.207153,0.141609
1,-48.681152,-0.034752,-2.522064,-2.281242,-4.781616,1.856712,0.142731,0.034752
1,-17.665833,0.036133,-31.015320,0.001381,-28.493256,2.282623,0.152069,0.036133
1,-2.756714,-2.898994,-14.909119,2.862862,16.106201,2.861481,0.299072,0.173010
1,-5.714478,-0.396004,2.957764,-2.502991,17.866882,-5.365852,0.184784,0.218397
1,3.963806,-0.075363,-1.750671,-0.320641,-4.708435,2.182350,0.277344,0.075363
1,-0.364868,-1.438278,-3.598938,1.362915,-1.848267,1.683556,0.249542,0.209476
1,-3.554565,-2.742386,3.189697,1.304108,6.788635,-0.058807,0.131897,0.284782
1,12.451233,-2.523445,8.896667,-0.218941,5.706970,-1.523048,0.163025,0.065842
1,-6.665833,-2.203041,-5.785400,-0.320404,-14.682068,-0.101463,0.092682,0.254562
1,18.139709,2.269325,11.473877,0.066284,17.259277,0.386688,0.292603,0.188278
1,22.663574,4.376129,4.523865,2.106804,-6.950012,2.040520,0.069611,0.075323
1,33.959198,2.291199,11.295624,-2.084930,6.771759,-4.191734,0.166626,0.166405
1,27.237030,0.329033,-6.722168,-1.962166,-18.017792,0.122765,0.202972,0.285368
1,15.060913,-0.010254,-12.176117,-0.318779,-5.453949,1.643387,0.299347,0.010254
