is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
0,4.053284,-1.981602,2.071472,1.441166,7.655823,2.161747,0.024734,0.000004
0,4.233398,-1.801456,0.180115,-0.180145,-1.891357,-1.621311,0.025803,0.000004
0,0.630554,-0.180145,-3.602844,-1.621311,-3.782959,-1.441166,0.003891,0.000000
0,5.044189,-1.891525,4.413635,1.711380,8.016479,3.332691,0.030884,0.000000
0,13.150635,-0.540436,8.106445,-1.351089,3.692810,-3.062469,0.009293,0.000000
0,11.439270,1.801456,-1.711365,1.261021,-9.817810,2.612110,0.019714,0.000004
0,9.637817,0.000000,-1.801453,-1.801456,-0.090088,-3.062477,0.030701,0.000000
0,5.854431,0.000000,-3.783386,0.000000,-1.981934,1.801456,0.035416,0.000000
0,3.783569,0.000000,-2.070862,0.000000,1.712524,0.000000,0.023590,0.000000
0,2.612549,-0.270218,-1.171021,0.270218,0.899841,0.270218,0.016373,0.000000
0,4.503418,-0.270218,1.890869,0.000000,3.061890,-0.270218,0.027252,0.000000
0,10.448242,-1.441162,5.944824,1.170944,4.053955,1.170944,0.025986,0.000000
0,9.457764,-2.612129,-0.990479,1.170967,-6.935303,0.000023,0.031708,0.000023
0,6.845459,-2.612133,-2.612305,0.000004,-1.621826,-1.170963,0.041687,0.000027
0,1.261230,0.000000,-5.584229,-2.612133,-2.971924,-2.612137,0.007904,0.000000
0,1.621582,0.090073,0.360352,0.090073,5.944580,2.702206,0.010162,0.000000
0,4.053833,0.090073,2.432251,0.000000,2.071899,-0.090073,0.025284,0.000000
0,6.575073,-0.180145,2.521240,0.090073,0.088989,0.090073,0.039871,0.000000
0,9.637817,0.000000,3.062744,-0.180145,0.541504,-0.270218,0.030701,0.000000
0,10.989258,2.071690,1.351440,2.071690,-1.711304,2.251835,0.022110,0.000019
0,13.151245,2.341896,2.161987,0.270206,0.810547,-1.801483,0.008682,0.000008
0,9.187500,1.261017,-3.963745,-1.080879,-6.125732,-1.351086,0.033401,0.000000
0,2.162109,0.180145,-7.025391,-1.080872,-3.061646,0.000008,0.013550,0.000000
0,0.360352,0.000000,-1.801758,-0.180145,5.223633,0.900726,0.002258,0.000000
0,2.972778,0.000000,2.612427,0.000000,4.414185,0.180145,0.018509,0.000000
0,6.665039,-0.450363,3.692261,0.450363,1.079834,0.450363,0.040314,0.000000
0,2.252197,0.180145,-4.412842,-0.270218,-8.105103,-0.720581,0.014114,0.000000
0,0.270264,0.270218,-1.981934,0.090073,2.430908,0.360291,0.001694,0.000000
0,2.882690,0.090073,2.612427,-0.180145,4.594360,-0.270218,0.017944,0.000000
0,6.935303,-0.270218,4.052612,0.180145,1.440186,0.360291,0.042007,0.000000
0,8.016235,-0.630508,1.080933,0.360291,-2.971680,0.180145,0.040863,0.000000
0,5.764404,-0.270218,-2.251831,-0.360291,-3.332764,-0.720581,0.034912,0.000000
