deltaYaw,deltaPitch,accelYaw,accelPitch,jerkYaw,jerkPitch,label
-40.99292,7.23772,-40.86816,7.79927,-40.74341,8.29844,1
-10.60706,1.99661,30.38586,-5.24111,71.25403,-13.04038,1
-0.24963,1.99661,10.35742,0.0,-20.02844,5.24111,1
2.62061,2.37098,2.87024,0.37437,-7.48718,0.37437,1
0.99829,3.1821,-1.62231,0.81112,-4.49255,0.43676,1
-0.43677,2.93253,-1.43506,-0.24958,0.18726,-1.0607,1
-2.12146,3.61886,-1.68469,0.68634,-0.24963,0.93591,1
0.99829,2.55816,3.11975,-1.0607,4.80444,-1.74704,1
3.30688,2.05901,2.30859,-0.49915,-0.81116,0.56155,1
0.6239,1.12309,-2.68298,-0.93591,-4.99158,-0.43676,1
-2.74536,0.62394,-3.36926,-0.49915,-0.68628,0.43676,1
1.74707,-0.62394,4.49243,-1.24788,7.86169,-0.74873,1
-2.05896,-3.05731,-3.80603,-2.43337,-8.29846,-1.18549,1
2.80774,-3.93083,4.8667,-0.87352,8.67273,1.55985,1
8.54797,-1.99661,5.74023,1.93422,0.87354,2.80774,1
0.74878,-0.74873,-7.79919,1.24788,-13.53943,-0.68634,1
0.74878,-0.37436,0.0,0.37437,7.79919,-0.87352,1
3.86841,0.93591,3.11963,1.31028,3.11963,0.93591,1
8.98474,1.31028,5.11633,0.37436,1.9967,-0.93591,1
10.10791,0.43676,1.12317,-0.87352,-3.99316,-1.24788,1
3.36926,0.62394,-6.73865,0.18718,-7.86182,1.0607,1
0.93591,-0.31197,-2.43335,-0.93591,4.3053,-1.1231,1
9.67114,-1.18549,8.73523,-0.87352,11.16858,0.06239,1
12.04211,-1.87183,2.37097,-0.68634,-6.36426,0.18718,1
4.30518,-2.24619,-7.73694,-0.37436,-10.10791,0.31197,1
5.92749,-2.74534,1.62231,-0.49915,9.35925,-0.12479,1
1.43506,-0.62394,-4.49243,2.1214,-6.11475,2.62056,1
1.43506,0.74873,0.0,1.37267,4.49243,-0.74873,1
4.2428,0.87352,2.80774,0.12479,2.80774,-1.24788,1
3.49402,1.24788,-0.74878,0.37437,-3.55652,0.24958,1
0.31201,1.55985,-3.18201,0.31197,-2.43323,-0.0624,1
-3.11975,2.1838,-3.43176,0.62394,-0.24976,0.31197,1
-3.93079,3.49407,-0.81104,1.31028,2.62073,0.68633,1
4.30518,3.05731,8.23596,-0.43676,9.047,-1.74704,1
12.47888,3.2445,8.17371,0.18718,-0.06226,0.62394,1
-1.9342,0.81112,-14.41309,-2.43337,-22.58679,-2.62056,1
-0.43677,-2.99492,1.49744,-3.80604,15.91052,-1.37267,1
-2.80774,-4.86674,-2.37097,-1.87183,-3.86841,1.93422,1
6.11462,-3.05731,8.92236,1.80943,11.29333,3.68126,1
3.74365,-1.80943,-2.37097,1.24788,-11.29333,-0.56155,1
0.99829,-1.43507,-2.74536,0.37436,-0.37439,-0.87352,1
-4.30518,0.74873,-5.30347,2.1838,-2.55811,1.80943,1
1.37268,0.87352,5.67786,0.12479,10.98132,-2.05901,1
2.80774,0.99831,1.43506,0.12479,-4.2428,-0.0,1
5.05396,1.37267,2.24622,0.37437,0.81116,0.24958,1
2.62061,1.18549,-2.43335,-0.18718,-4.67957,-0.56155,1
-1.68469,0.74873,-4.3053,-0.43676,-1.87195,-0.24958,1
-4.49243,-1.18549,-2.80774,-1.93422,1.49756,-1.49746,1
5.49072,-2.80774,9.98315,-1.62225,12.79089,0.31197,1
1.99658,-3.80604,-3.49414,-0.99831,-13.47729,0.62394,1
4.49243,-1.18549,2.49585,2.62055,5.98999,3.61886,1
