is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
0,0.104386,0.099873,-0.174795,0.103325,-0.214723,0.149497,0.001822,0.001743
0,0.130239,-0.120716,0.00232,-0.206722,0.018297,-0.186074,0.002273,0.002107
0,-0.041407,0.027146,-0.196474,0.121881,-0.160612,0.167839,0.000723,0.000474
0,-0.008587,-0.111807,0.012314,-0.136868,-0.022417,-0.142019,0.00015,0.001951
0,0.087717,0.126769,0.083695,0.251814,0.095358,0.228116,0.001531,0.002213
0,0.105772,-0.03627,0.041411,-0.185256,0.043085,-0.15235,0.001846,0.000633
0,-0.055628,-0.129124,-0.170957,-0.083174,-0.134399,-0.043249,0.000971,0.002254
0,0.161745,0.037131,0.193112,0.1658,0.188446,0.122567,0.002823,0.000648
0,-0.05567,-0.104686,-0.210914,-0.165392,-0.240845,-0.118087,0.000972,0.001827
0,0.155066,0.007415,0.181878,0.126075,0.228985,0.104304,0.002706,0.000129
0,-0.005904,-0.031343,-0.153789,-0.062088,-0.171489,-0.032968,0.000103,0.000547
0,-0.13032,0.121353,-0.149364,0.128933,-0.165082,0.150406,0.002275,0.002118
0,0.033352,-0.096291,0.191128,-0.189368,0.200651,-0.220797,0.000582,0.001681
0,0.18803,0.081281,0.129315,0.174532,0.117209,0.144161,0.003282,0.001419
0,-0.079447,0.098624,-0.242502,0.044177,-0.263872,0.084932,0.001387,0.001721
0,0.036601,-0.101866,0.099787,-0.196376,0.083244,-0.161731,0.000639,0.001778
0,0.127839,-0.012602,0.072278,0.063685,0.029761,0.074009,0.002231,0.00022
0,0.070637,0.080374,-0.051057,0.104242,-0.018824,0.126876,0.001233,0.001403
0,-0.034462,0.124433,-0.087608,0.031499,-0.108063,0.009471,0.000601,0.002172
0,0.015405,0.129928,0.021484,-0.015264,0.001599,0.023567,0.000269,0.002268
0,0.037461,-0.086693,0.009445,-0.229873,-0.025834,-0.230289,0.000654,0.001513
0,0.030249,-0.011774,0.003711,0.074622,0.024912,0.07982,0.000528,0.000205
0,0.07681,0.089252,0.056538,0.085706,0.067396,0.116148,0.001341,0.001558
0,-0.101331,-0.025711,-0.190734,-0.144124,-0.239575,-0.178096,0.001769,0.000449
0,0.056278,0.09041,0.18207,0.123874,0.230144,0.076012,0.000982,0.001578
0,0.032972,0.146136,-0.019793,0.026739,-0.006921,0.003287,0.000575,0.002551
0,0.005068,0.067002,-0.001135,-0.099263,-0.040225,-0.059658,8.8e-05,0.001169
0,0.084892,0.137474,0.107477,0.083227,0.141649,0.101725,0.001482,0.002399
0,-0.048788,0.101604,-0.136591,-0.021973,-0.180627,-0.041713,0.000852,0.001773
0,0.040587,-0.092599,0.085566,-0.175808,0.087101,-0.207054,0.000708,0.001616
0,-0.105744,0.118799,-0.138245,0.214291,-0.094471,0.238944,0.001846,0.002073
0,-0.182075,0.109273,-0.094225,0.013902,-0.088985,0.015876,0.003178,0.001907
0,-0.193478,0.099853,-0.026382,-0.001672,-0.044058,0.005459,0.003377,0.001743
0,-0.155061,-0.082783,0.040853,-0.208786,0.021987,-0.189621,0.002706,0.001445
0,0.030281,0.126378,0.162198,0.198863,0.183088,0.174171,0.000529,0.002206
0,-0.050274,0.021791,-0.052829,-0.113659,-0.056449,-0.119427,0.000877,0.00038
0,-0.113236,-0.070781,-0.088527,-0.102057,-0.04538,-0.087928,0.001976,0.001235
0,-0.089564,-0.099699,0.006116,-0.033835,-0.04002,-0.077015,0.001563,0.00174
0,0.132872,0.101115,0.201211,0.176283,0.235479,0.192768,0.002319,0.001765
0,0.1419,-0.13005,0.028061,-0.210656,0.03362,-0.168997,0.002477,0.00227
0,-0.063737,-0.057726,-0.209121,0.053346,-0.172274,0.089989,0.001112,0.001008
0,-0.0521,0.049148,0.012181,0.081475,0.010077,0.049646,0.000909,0.000858
0,0.081035,0.047891,0.103241,-0.030195,0.148261,-0.03688,0.001414,0.000836
0,0.039271,0.01463,-0.014205,-0.028522,0.011043,-0.023678,0.000685,0.000255
0,0.150502,0.14048,0.094016,0.119874,0.131692,0.143915,0.002627,0.002452
0,0.203295,0.014178,0.060965,-0.15238,0.067587,-0.149674,0.003548,0.000247
0,0.098722,0.036768,-0.074815,0.012761,-0.115365,-0.008254,0.001723,0.000642
0,-0.005169,0.159812,-0.096492,0.133761,-0.134237,0.131195,9e-05,0.002789
0,0.166264,-0.100719,0.161561,-0.279819,0.200661,-0.316758,0.002902,0.001758
0,0.16416,0.077976,-0.017654,0.17811,-0.057639,0.164687,0.002865,0.001361
0,0.042525,-0.028458,-0.115732,-0.133151,-0.128297,-0.131826,0.000742,0.000497
0,0.234135,-0.070254,0.203949,-0.036491,0.236344,0.01004,0.004086,0.001226
0,0.141666,0.013705,-0.101324,0.066017,-0.118288,0.079108,0.002473,0.000239
0,-0.008355,-0.008866,-0.121088,-0.034854,-0.114778,0.000367,0.000146,0.000155
0,0.216353,-0.092608,0.230102,-0.092229,0.264909,-0.079458,0.003776,0.001616
0,0.058238,0.099199,-0.183116,0.172867,-0.229708,0.133485,0.001016,0.001731
0,0.0476,0.024632,0.005578,-0.050575,0.04367,-0.025753,0.000831,0.00043
0,0.11298,0.136104,0.05827,0.094501,0.067148,0.111579,0.001972,0.002375
0,-0.012226,0.068423,-0.135251,-0.069932,-0.125294,-0.045997,0.000213,0.001194
0,-0.067568,0.116783,-0.031659,0.051494,0.000325,0.092662,0.001179,0.002038
0,0.046905,0.143951,0.132516,0.015553,0.169161,0.018658,0.000819,0.002512
0,0.022114,-0.094622,-0.033468,-0.227099,0.004164,-0.212029,0.000386,0.001651
0,-0.005285,0.088458,-0.042499,0.158909,-0.039817,0.122133,9.2e-05,0.001544
0,0.044416,-0.099209,0.050077,-0.179606,0.096959,-0.202446,0.000775,0.001732
0,0.088564,-0.126654,0.032723,-0.003153,0.007869,-0.003491,0.001546,0.002211
0,0.081528,0.015377,-0.015142,0.153458,-0.052181,0.156985,0.001423,0.000268
0,0.068819,0.068012,-0.019976,0.050289,0.013418,0.004073,0.001201,0.001187
0,-0.057502,-0.003984,-0.149486,-0.085656,-0.184344,-0.074537,0.001004,7e-05
0,0.0315,0.04944,0.101463,0.055291,0.090239,0.068214,0.00055,0.000863
0,-0.109117,0.009461,-0.168928,-0.011543,-0.211336,0.01837,0.001904,0.000165
0,-0.088519,0.102498,0.041398,0.067991,0.017123,0.026102,0.001545,0.001789
0,-0.010912,0.017735,0.09277,-0.090611,0.136654,-0.040952,0.00019,0.00031
0,-0.169611,-0.06777,-0.151623,-0.092229,-0.113018,-0.128393,0.00296,0.001183
0,0.0565,-0.088867,0.219109,0.004233,0.172156,-0.026236,0.000986,0.001551
0,0.027273,0.03557,-0.027391,0.110998,0.014793,0.108677,0.000476,0.000621
0,0.05241,0.067563,0.006595,0.021187,0.054035,0.060514,0.000915,0.001179
0,0.089979,0.103974,0.041988,0.029694,0.067938,0.014423,0.00157,0.001815
0,-0.086604,-0.119608,-0.147455,-0.197792,-0.118266,-0.224969,0.001512,0.002088
0,-0.077689,-0.130938,0.033253,-0.033132,0.022662,-0.037484,0.001356,0.002285
0,0.060032,0.030824,0.131833,0.178436,0.095765,0.214949,0.001048,0.000538
0,-0.165297,0.132038,-0.238014,0.130145,-0.199892,0.106655,0.002885,0.002304
0,0.088346,-0.018895,0.230808,-0.170515,0.197825,-0.159958,0.001542,0.00033
0,-0.060525,0.003268,-0.176829,0.003377,-0.144814,-0.000744,0.001056,5.7e-05
0,0.12486,0.022477,0.175304,-0.010777,0.12544,-0.010906,0.002179,0.000392
0,0.149104,-0.089718,0.00184,-0.103562,-0.036135,-0.085468,0.002602,0.001566
0,0.180606,-0.086716,0.038445,0.011344,0.045847,0.018402,0.003152,0.001513
0,0.17237,0.016692,-0.016973,0.105162,-0.049478,0.0726,0.003008,0.000291
0,-0.111717,0.08038,-0.279795,0.090507,-0.286284,0.131487,0.00195,0.001403
0,0.075186,-0.052516,0.196354,-0.117429,0.158307,-0.128203,0.001312,0.000917
0,-0.023869,-0.062675,-0.110262,-0.020203,-0.15274,-0.009493,0.000417,0.001094
0,-0.103422,-0.090083,-0.081758,-0.029432,-0.106113,-0.04215,0.001805,0.001572
0,-0.144676,0.040758,-0.034394,0.13663,-0.011926,0.151736,0.002525,0.000711
0,-0.007587,0.093218,0.136297,0.045719,0.1178,0.081382,0.000132,0.001627
0,-0.147715,-0.103774,-0.153604,-0.205328,-0.169328,-0.207574,0.002578,0.001811
0,-0.06862,-0.113957,0.085387,-0.025646,0.106309,-0.029116,0.001198,0.001989
0,0.116941,-0.18604,0.180771,-0.073835,0.185613,-0.089452,0.002041,0.003247
0,0.090835,0.056789,-0.043021,0.218514,-0.070686,0.208729,0.001585,0.000991
0,0.089145,0.057099,-0.02338,0.026899,0.008137,0.051391,0.001556,0.000997
0,0.107719,-0.14772,-0.010537,-0.179541,0.012542,-0.150163,0.00188,0.002578
0,-0.053667,0.104631,-0.145402,0.225587,-0.140696,0.22832,0.000937,0.001826
0,0.080495,0.095101,0.144182,0.003688,0.146183,-0.02198,0.001405,0.00166
0,0.051025,-0.092946,-0.015857,-0.179755,-0.05162,-0.185579,0.000891,0.001622
0,0.095761,0.051311,0.064761,0.130752,0.017216,0.102977,0.001671,0.000896
0,0.015788,0.079794,-0.06673,0.018272,-0.021471,0.051093,0.000276,0.001393
0,0.007337,0.083146,0.00773,0.017244,0.045631,0.036194,0.000128,0.001451
0,0.175185,0.041492,0.146724,-0.026964,0.130068,-0.044768,0.003058,0.000724
0,0.161508,-0.051687,-0.018716,-0.108249,-0.034092,-0.109659,0.002819,0.000902
0,-0.014104,0.018731,-0.193428,0.088915,-0.170989,0.137061,0.000246,0.000327
0,0.195815,0.199367,0.238659,0.189109,0.200277,0.177096,0.003418,0.00348
0,-0.095082,-0.037755,-0.305744,-0.265625,-0.273229,-0.28816,0.00166,0.000659
0,0.08254,0.066994,0.20761,0.103043,0.207143,0.089827,0.001441,0.001169
0,-0.115348,0.180548,-0.190606,0.127287,-0.233793,0.152171,0.002013,0.003151
0,0.111033,-0.023827,0.225472,-0.187844,0.24195,-0.175865,0.001938,0.000416
0,-0.029588,-0.041349,-0.12599,-0.006059,-0.175496,-0.043354,0.000516,0.000722
0,-0.119489,0.21044,-0.082026,0.233272,-0.048127,0.242691,0.002085,0.003673
0,-0.044303,-0.068088,0.074696,-0.282822,0.098019,-0.313137,0.000773,0.001188
0,-0.117373,0.143404,-0.057104,0.223649,-0.040237,0.207372,0.002049,0.002503
0,-0.019098,-0.071804,0.112347,-0.195303,0.144562,-0.205058,0.000333,0.001253
0,0.069453,0.141326,0.074223,0.2127,0.116829,0.19396,0.001212,0.002467
0,-0.019173,-0.011745,-0.076053,-0.129621,-0.068074,-0.113141,0.000335,0.000205
0,0.066862,0.065889,0.077727,0.062398,0.118624,0.075757,0.001167,0.00115
0,-0.021307,-0.079711,-0.096276,-0.161471,-0.092394,-0.16501,0.000372,0.001391
0,-0.0591,0.215462,-0.035244,0.308968,-0.052456,0.259337,0.001031,0.003761
0,0.089682,0.144266,0.160544,-0.083139,0.15851,-0.097678,0.001565,0.002518
0,-0.069762,-0.028176,-0.158661,-0.169077,-0.173118,-0.179922,0.001218,0.000492
0,0.014291,0.10152,0.069884,0.136871,0.056332,0.116322,0.000249,0.001772
0,0.056056,0.229086,0.026159,0.145662,-0.01458,0.156213,0.000978,0.003998
0,0.024582,0.225801,-0.037506,-0.001051,-0.072754,-0.017928,0.000429,0.003941
0,0.050761,0.047419,0.045138,-0.192376,0.094246,-0.174914,0.000886,0.000828
0,-0.015258,0.135131,-0.070471,0.114244,-0.027737,0.103213,0.000266,0.002358
0,-0.000707,0.196286,0.028298,0.081408,0.066406,0.12686,1.2e-05,0.003426
0,0.194933,0.066272,0.199876,-0.119123,0.2157,-0.111839,0.003402,0.001157
0,0.137725,0.048385,-0.028303,-0.032791,-0.078215,-0.03003,0.002404,0.000844
0,0.145068,0.08572,0.03143,0.041577,0.060335,-0.007437,0.002532,0.001496
0,0.126256,0.15048,-0.046728,0.062343,-0.072538,0.030385,0.002204,0.002626
0,0.013346,0.058042,-0.099594,-0.097221,-0.121169,-0.071071,0.000233,0.001013
0,0.204966,0.13223,0.198841,0.080879,0.199093,0.040936,0.003577,0.002308
0,0.116324,0.057236,-0.07617,-0.078879,-0.05588,-0.088522,0.00203,0.000999
0,0.245189,-0.041503,0.11508,-0.076965,0.148025,-0.072271,0.004279,0.000724
0,0.085342,-0.047566,-0.140054,-0.019194,-0.127662,-0.00945,0.00149,0.00083
0,0.090908,0.084603,0.010707,0.152699,0.060203,0.137292,0.001587,0.001477
0,0.043778,-0.040737,-0.073689,-0.120709,-0.116101,-0.127061,0.000764,0.000711
0,0.041253,0.080766,0.012273,0.093698,0.005181,0.110474,0.00072,0.00141
0,0.067676,0.043469,0.055089,-0.043096,0.041481,-0.089639,0.001181,0.000759
0,0.124825,0.067332,0.059108,-0.005471,0.016013,-0.004844,0.002179,0.001175
0,0.068139,-0.026838,-0.057528,-0.09286,-0.039397,-0.065717,0.001189,0.000468
0,0.139802,-0.062328,0.04999,-0.059373,0.00564,-0.037885,0.00244,0.001088
0,0.016527,0.057614,-0.097158,0.138087,-0.052042,0.144862,0.000288,0.001006
0,0.175685,-0.089997,0.137421,-0.157156,0.173316,-0.178172,0.003066,0.001571
0,-0.000742,-0.109622,-0.14669,0.004556,-0.141134,-0.043235,1.3e-05,0.001913
0,0.141224,-0.041686,0.161586,0.043826,0.162598,0.090667,0.002465,0.000728
0,0.202243,0.075545,0.087374,0.139793,0.070228,0.169909,0.00353,0.001319
