is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch
0,0.127269,0.08575,0.329824,0.196192,0.316982,0.244109,0.002221,0.001497
0,-0.053989,0.00594,-0.161306,-0.08358,-0.114899,-0.04916,0.000942,0.000104
0,0.050373,-0.071695,0.12026,-0.055106,0.163495,-0.054993,0.000879,0.001251
0,0.096222,0.043951,0.050008,0.107859,0.064588,0.088751,0.001679,0.000767
0,-0.214696,0.221374,-0.336997,0.152176,-0.357481,0.189182,0.003747,0.003636
0,0.135806,-0.006884,0.351653,-0.246141,0.388439,-0.294704,0.00237,0.00012
0,0.167078,-0.149741,0.047898,-0.170566,0.037994,-0.137582,0.002916,0.002613
0,0.032839,-0.044756,-0.147039,0.076193,-0.156364,0.083304,0.000573,0.000781
0,-0.102208,-0.003621,-0.134973,0.04996,-0.096131,0.058408,0.001784,6.3e-05
0,-0.013475,-0.386171,0.108224,-0.405261,0.083258,-0.452385,0.000235,0.00076
0,0.056593,-0.072598,0.099098,0.305214,0.14019,0.279115,0.000988,0.001267
0,0.228791,-0.060307,0.184166,0.020049,0.187903,-0.005548,0.003507,0.001053
0,0.102602,-0.072215,-0.14599,-0.036127,-0.105053,-0.074107,0.001791,0.00126
0,0.132422,0.107461,0.019242,0.201224,-0.002571,0.193217,0.002311,0.001876
0,-0.140891,-0.063032,-0.244875,-0.151404,-0.247066,-0.163526,0.002459,0.0011
0,0.041673,-0.119672,0.182512,-0.086546,0.188818,-0.111112,0.000727,0.002089
0,-0.065847,-0.046019,-0.117684,0.066119,-0.161077,0.06949,0.001149,0.000803
0,-0.083239,-0.148673,-0.005956,-0.12043,0.00617,-0.100204,0.001453,0.002595
0,-0.142007,0.103022,-0.066796,0.262888,-0.098952,0.289052,0.002478,0.001798
0,-0.10058,-0.034976,0.019324,-0.141376,0.043885,-0.166859,0.001755,0.00061
0,-0.126968,-0.041967,-0.05067,-0.022823,-0.090646,-0.064181,0.002216,0.000732
0,-0.08819,0.02526,0.035658,0.093116,0.050758,0.075149,0.001539,0.000441
0,0.453655,0.108167,0.540716,0.096483,0.544822,0.066975,0.000418,0.001888
0,0.159792,0.100914,-0.265966,-0.027547,-0.305338,-0.02554,0.002789,0.001761
0,0.201732,0.09542,0.05988,-0.031117,0.026488,-0.079593,0.003521,0.001665
0,0.002978,-0.099848,-0.218045,-0.182606,-0.17328,-0.195545,5.2e-05,0.001743
0,0.219176,-0.062773,0.190247,0.042175,0.199257,-0.005063,0.003675,0.001096
0,0.044035,0.049319,-0.167222,0.086577,-0.155411,0.05012,0.000769,0.000861
0,0.06811,0.061847,0.044144,-0.003395,0.066608,0.027645,0.001189,0.001079
0,-0.002061,-0.046616,-0.049699,-0.138226,-0.084961,-0.126344,3.6e-05,0.000814
0,0.138162,0.163487,0.169804,0.20654,0.144809,0.189771,0.002411,0.002853
0,0.018596,0.174082,-0.092233,-0.00829,-0.08197,0.025847,0.000325,0.003038
0,0.064425,0.134935,0.017571,-0.05249,-0.000813,-0.064348,0.001124,0.002355
0,-0.226313,0.234407,-0.28591,0.115444,-0.263713,0.073355,0.00355,0.003409
0,0.166047,-0.108107,0.367683,-0.330863,0.326343,-0.348217,0.002898,0.001887
0,0.273087,-0.268767,0.083056,-0.13541,0.113122,-0.167127,0.002734,0.002809
0,0.007809,0.137916,-0.273842,0.426108,-0.238002,0.459699,0.000136,0.002407
0,-0.029887,0.124852,-0.052349,0.007107,-0.008231,-0.029205,0.000522,0.002179
0,0.096321,-0.019322,0.101954,-0.157741,0.06562,-0.129867,0.001681,0.000337
0,-0.078029,0.066792,-0.150592,0.109227,-0.157063,0.129675,0.001362,0.001166
0,-0.071862,-0.143152,0.017927,-0.191629,0.026311,-0.165636,0.001254,0.002498
0,0.439427,-0.351648,0.505992,-0.202077,0.507521,-0.244399,0.000169,0.001363
0,-0.058176,-0.01763,-0.50119,0.327321,-0.468124,0.340856,0.001015,0.000308
0,0.192193,-0.15298,0.275257,-0.113459,0.305857,-0.11993,0.003354,0.00267
0,0.127305,-0.11657,-0.070656,0.027147,-0.095662,-0.015868,0.002222,0.002035
0,0.05813,-0.104145,-0.09329,0.004032,-0.085414,0.030699,0.001015,0.001818
0,0.132716,0.139607,0.097034,0.252736,0.117835,0.233449,0.002316,0.002437
0,-0.410223,-0.015109,-0.557597,-0.135074,-0.537702,-0.104107,0.00034,0.000264
0,-0.4105,0.013862,0.003268,0.050472,-0.042635,0.024553,0.000335,0.000242
0,0.163774,0.050936,0.556373,0.057692,0.574886,0.065252,0.002858,0.000889
0,0.021485,-0.110467,-0.113938,-0.157936,-0.149877,-0.158682,0.000375,0.001928
0,0.135284,0.075101,0.097287,0.175894,0.073156,0.152292,0.002361,0.001311
0,0.240982,-0.100271,0.109888,-0.164056,0.10393,-0.149726,0.003294,0.00175
0,0.119085,-0.2116,-0.120249,-0.08265,-0.117643,-0.131461,0.002078,0.003693
0,0.129585,0.020697,0.031093,0.25399,0.059731,0.303844,0.002262,0.000361
0,-0.073183,-0.088229,-0.232418,-0.101897,-0.278357,-0.062996,0.001277,0.00154
